CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"314610 Ouro Preto";-;-;2;-;37;-;12;50;-;1;-;1;-;-;2;-;-;-;1;-;-;11;1;-;-;-;-;-;118
"314620 Ouro Verde de Minas";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"314625 Padre Carvalho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"314630 Padre Paraíso";-;-;1;-;8;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;15
"314655 Pai Pedro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314640 Paineiras";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"314650 Pains";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314660 Paiva";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"314670 Palma";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;9
"314675 Palmópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"314690 Papagaios";-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;10
"314710 Pará de Minas";-;-;1;-;23;-;23;98;-;-;-;1;-;-;2;-;-;-;1;1;-;4;2;-;-;-;-;-;156
"314700 Paracatu";-;-;1;-;14;-;25;62;-;-;-;2;-;-;-;4;-;-;-;-;-;2;1;-;-;-;2;-;113
"314720 Paraguaçu";-;-;-;-;5;-;2;6;-;-;-;1;-;-;1;-;-;-;1;1;-;3;1;-;-;-;-;-;21
"314730 Paraisópolis";-;-;-;-;6;-;3;28;-;1;-;1;-;-;1;1;-;-;-;-;-;5;1;-;-;-;-;-;47
"314740 Paraopeba";-;-;-;-;3;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;4;1;-;-;-;-;-;11
"314760 Passa Quatro";-;-;1;-;7;-;6;13;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;30
"314770 Passa Tempo";-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"314780 Passa-Vinte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"314750 Passabém";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314790 Passos";-;-;1;-;25;-;25;124;-;-;1;3;-;-;1;-;1;-;-;2;-;11;2;-;-;-;-;-;196
"314795 Patis";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314800 Patos de Minas";-;1;1;-;26;2;24;232;-;1;-;6;-;-;3;7;-;-;1;2;-;19;3;-;1;-;2;-;331
"314810 Patrocínio";-;-;1;-;13;-;10;67;-;1;-;3;-;-;1;-;-;-;1;1;-;12;-;-;-;-;2;-;112
"314820 Patrocínio do Muriaé";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;7
"314830 Paula Cândido";-;-;-;-;3;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;11
"314840 Paulistas";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"314850 Pavão";-;-;-;-;3;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"314860 Peçanha";-;-;-;-;4;-;-;7;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;15
"314870 Pedra Azul";-;-;1;-;6;-;4;14;-;-;-;1;-;-;1;2;-;-;-;2;-;2;-;-;-;-;1;-;34
"314875 Pedra Bonita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"314880 Pedra do Anta";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"314890 Pedra do Indaiá";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"314900 Pedra Dourada";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"314910 Pedralva";-;-;-;-;4;-;-;3;-;1;-;1;-;-;-;-;-;-;-;1;-;3;1;-;-;-;-;-;14
"314915 Pedras de Maria da Cruz";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;7
"314920 Pedrinópolis";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"314930 Pedro Leopoldo";-;-;1;-;15;-;20;87;-;-;-;3;-;-;-;-;1;-;-;1;-;9;-;-;-;-;-;-;137
"314940 Pedro Teixeira";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"314950 Pequeri";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"314960 Pequi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314970 Perdigão";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;7
"314980 Perdizes";-;-;-;-;5;-;2;5;-;-;-;1;-;-;-;5;-;-;1;1;-;2;-;-;-;-;-;-;22
"314990 Perdões";-;-;1;-;7;-;2;14;-;-;-;1;-;-;-;-;-;-;-;1;-;6;1;-;-;-;-;-;33
"314995 Periquito";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"315000 Pescador";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"315010 Piau";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315015 Piedade de Caratinga";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"315020 Piedade de Ponte Nova";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"315030 Piedade do Rio Grande";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"315040 Piedade dos Gerais";-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"315050 Pimenta";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;7
"315053 Pingo-d'Água";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315057 Pintópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"315060 Piracema";-;-;-;-;1;-;1;1;-;2;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;8
"315070 Pirajuba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"315080 Piranga";-;-;-;-;1;-;2;2;-;-;-;1;-;-;-;5;-;-;-;1;-;1;-;-;-;-;-;-;13
"315090 Piranguçu";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;8
"315100 Piranguinho";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;8
"315110 Pirapetinga";-;-;-;-;3;-;3;3;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;13
"315120 Pirapora";-;-;2;-;14;-;11;11;-;-;-;3;-;-;1;-;-;-;-;1;-;5;-;-;-;-;-;-;48
"315130 Piraúba";-;-;-;-;5;-;2;7;-;1;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;21
"315140 Pitangui";-;-;-;-;7;-;6;12;-;1;-;1;-;-;-;3;-;-;-;1;-;3;1;-;-;-;-;-;35
"315150 Piumhi";1;-;1;-;14;-;7;41;-;-;-;1;-;-;1;1;-;-;-;1;-;1;2;-;-;-;-;-;71
"315160 Planura";-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;9
"315170 Poço Fundo";-;-;-;-;4;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;1;-;-;-;-;-;15
"315180 Poços de Caldas";-;-;-;-;6;-;91;498;1;1;1;5;3;-;3;25;-;-;-;1;-;29;1;-;-;-;4;-;669
"315190 Pocrane";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;6
"315200 Pompéu";-;-;-;-;7;-;2;8;-;1;-;1;-;-;1;1;-;-;-;1;-;3;1;-;-;-;-;-;26
"315210 Ponte Nova";-;1;1;-;7;1;14;118;-;1;-;2;-;-;1;11;-;1;1;2;-;11;1;-;-;-;2;-;175
"315213 Ponto Chique";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315217 Ponto dos Volantes";-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;10
"315220 Porteirinha";-;-;-;-;14;-;1;21;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;1;-;42
"315230 Porto Firme";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315240 Poté";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"315250 Pouso Alegre";-;1;1;-;16;-;14;320;-;-;-;3;3;-;2;9;-;-;1;2;-;46;2;-;-;-;1;-;421
"315260 Pouso Alto";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"315270 Prados";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;9
"315280 Prata";-;-;-;-;7;-;2;5;-;-;-;1;-;-;1;2;-;-;-;1;-;2;-;-;-;-;-;-;21
"315290 Pratápolis";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"315300 Pratinha";-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"315310 Presidente Bernardes";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"315320 Presidente Juscelino";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"315330 Presidente Kubitschek";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315340 Presidente Olegário";-;-;-;-;5;-;1;3;-;1;-;1;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;15
"315360 Prudente de Morais";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
"315370 Quartel Geral";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"315380 Queluzito";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"315390 Raposos";-;-;-;-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;11
"315400 Raul Soares";-;-;-;-;7;-;-;17;-;-;-;1;-;-;-;3;-;-;-;1;-;6;2;-;-;-;1;-;38
"315410 Recreio";-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;4;-;-;1;1;-;3;-;-;-;-;1;-;18
"315415 Reduto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"315420 Resende Costa";-;-;-;-;1;-;-;10;-;-;-;1;-;-;-;6;-;-;-;1;-;-;1;-;-;-;-;-;20
"315430 Resplendor";-;-;-;-;5;-;3;4;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;18
"315440 Ressaquinha";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315445 Riachinho";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;8
"315450 Riacho dos Machados";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;8
"315460 Ribeirão das Neves";-;-;3;-;66;-;11;27;-;3;1;1;1;-;-;-;2;-;-;1;-;4;1;-;1;-;-;-;122
"315470 Ribeirão Vermelho";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315480 Rio Acima";-;-;-;-;1;-;1;4;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;9
"315490 Rio Casca";-;-;-;-;3;-;2;15;-;-;-;1;-;-;1;-;-;-;-;1;-;6;-;-;-;-;-;-;29
"315510 Rio do Prado";-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"315500 Rio Doce";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"315520 Rio Espera";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315530 Rio Manso";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"315540 Rio Novo";-;-;-;-;4;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
"315550 Rio Paranaíba";-;-;-;-;3;-;1;2;-;-;-;1;-;-;-;7;-;-;-;1;-;1;-;-;-;-;-;-;16
"315560 Rio Pardo de Minas";-;-;-;-;6;-;1;1;-;-;-;1;-;-;-;7;-;-;-;1;-;1;-;-;-;-;1;-;19
"315570 Rio Piracicaba";-;-;-;-;1;-;2;1;-;-;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;10
"315580 Rio Pomba";-;-;-;-;6;-;8;3;-;1;-;1;-;-;-;2;-;-;-;1;-;4;-;-;-;-;-;-;26
"315590 Rio Preto";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;8
"315600 Rio Vermelho";-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"315610 Ritápolis";-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"315620 Rochedo de Minas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315630 Rodeiro";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;7
"315640 Romaria";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"315645 Rosário da Limeira";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315650 Rubelita";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;7
"315660 Rubim";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;8
"315670 Sabará";-;-;1;-;17;-;9;25;-;-;1;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;57
"315680 Sabinópolis";-;-;-;-;7;-;2;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;14
"315690 Sacramento";-;-;1;-;8;-;6;27;-;-;-;1;-;-;1;1;-;-;-;1;-;4;-;-;-;-;1;-;51
"315700 Salinas";-;-;1;-;10;1;13;12;-;-;-;2;-;-;-;-;-;-;-;1;-;5;1;-;-;-;-;-;46
"315710 Salto da Divisa";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"315720 Santa Bárbara";-;-;-;-;7;-;3;4;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;19
"315725 Santa Bárbara do Leste";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"315727 Santa Bárbara do Monte Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315730 Santa Bárbara do Tugúrio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"315733 Santa Cruz de Minas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3
"315737 Santa Cruz de Salinas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"315740 Santa Cruz do Escalvado";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;1;-;9
"315750 Santa Efigênia de Minas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315760 Santa Fé de Minas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315765 Santa Helena de Minas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315770 Santa Juliana";-;-;-;-;3;-;1;3;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;10
"315780 Santa Luzia";-;-;2;-;66;1;14;37;2;1;-;1;-;-;1;-;-;1;2;-;-;12;1;-;1;-;1;-;143
"315790 Santa Margarida";-;-;1;-;2;-;1;2;-;-;-;1;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;13
"315800 Santa Maria de Itabira";-;-;-;-;2;-;1;6;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;12
"315810 Santa Maria do Salto";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315820 Santa Maria do Suaçuí";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;4;-;-;-;1;-;2;-;-;-;-;-;-;10
"315920 Santa Rita de Caldas";-;-;-;-;2;-;-;4;-;1;-;1;-;-;-;1;-;-;-;1;-;6;1;-;-;-;-;-;17
"315940 Santa Rita de Ibitipoca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"315930 Santa Rita de Jacutinga";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315935 Santa Rita de Minas";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"315950 Santa Rita do Itueto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;6
"315960 Santa Rita do Sapucaí";-;-;1;-;7;-;1;63;-;-;-;1;-;-;-;-;-;-;-;1;-;12;-;-;-;-;-;-;86
"315970 Santa Rosa da Serra";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"315980 Santa Vitória";-;-;-;-;5;-;2;3;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;15
"315830 Santana da Vargem";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"315840 Santana de Cataguases";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315850 Santana de Pirapama";-;-;-;-;4;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"315860 Santana do Deserto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;5
"315870 Santana do Garambéu";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"315880 Santana do Jacaré";-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"315890 Santana do Manhuaçu";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"315895 Santana do Paraíso";-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;10
"315900 Santana do Riacho";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5
"315910 Santana dos Montes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"315990 Santo Antônio do Amparo";-;-;1;-;6;-;2;13;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;25
"316000 Santo Antônio do Aventureiro";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"316010 Santo Antônio do Grama";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"316020 Santo Antônio do Itambé";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316030 Santo Antônio do Jacinto";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;8
"316040 Santo Antônio do Monte";-;-;1;-;8;-;1;13;-;-;-;2;-;-;1;-;-;-;-;1;-;5;1;-;-;-;-;-;33
"316045 Santo Antônio do Retiro";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"316050 Santo Antônio do Rio Abaixo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316060 Santo Hipólito";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316070 Santos Dumont";-;-;1;-;6;-;5;12;-;2;-;1;-;-;1;7;-;-;-;1;-;8;1;-;-;-;-;-;45
"316080 São Bento Abade";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316090 São Brás do Suaçuí";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"316095 São Domingos das Dores";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"316100 São Domingos do Prata";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;1;1;-;-;-;-;-;9
"316105 São Félix de Minas";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316110 São Francisco";-;-;1;-;10;-;-;3;-;-;-;1;-;-;-;4;-;-;-;-;-;3;1;-;-;-;-;-;23
"316120 São Francisco de Paula";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"316130 São Francisco de Sales";-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"316140 São Francisco do Glória";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"316150 São Geraldo";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"316160 São Geraldo da Piedade";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"316165 São Geraldo do Baixio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316170 São Gonçalo do Abaeté";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;6
"316180 São Gonçalo do Pará";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;9
"316190 São Gonçalo do Rio Abaixo";-;-;-;-;5;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"312550 São Gonçalo do Rio Preto";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316200 São Gonçalo do Sapucaí";-;-;-;-;5;-;3;31;-;-;-;1;-;-;1;3;-;-;-;1;-;4;1;-;-;-;-;-;50
"316210 São Gotardo";-;-;-;-;7;-;-;4;-;-;-;2;-;-;3;3;-;-;-;1;-;5;1;-;-;-;-;-;26
"316220 São João Batista do Glória";-;-;-;-;3;-;-;3;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
