CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2016
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"211040 São Benedito do Rio Preto";-;-;-;1;-;1;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;8;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;16
"211050 São Bento";-;-;-;-;-;1;-;16;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;24
"211060 São Bernardo";-;-;-;1;-;-;-;8;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;15
"211065 São Domingos do Azeitão";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;5
"211070 São Domingos do Maranhão";-;-;-;-;-;1;-;16;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;2;1;1;1;-;-;-;-;27
"211080 São Félix de Balsas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211085 São Francisco do Brejão";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"211090 São Francisco do Maranhão";-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"211100 São João Batista";1;-;-;-;-;1;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;14
"211102 São João do Carú";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"211105 São João do Paraíso";-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;11
"211107 São João do Soter";1;-;-;-;-;1;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;13
"211110 São João dos Patos";1;-;-;-;-;1;-;10;-;-;14;2;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;-;1;-;-;-;-;36
"211120 São José de Ribamar";-;-;-;-;-;1;-;29;-;-;4;4;-;1;-;2;-;-;-;1;-;2;1;1;-;1;-;-;-;3;1;-;2;-;-;-;-;53
"211125 São José dos Basílios";-;-;-;1;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;12
"211130 São Luís";-;3;1;-;1;6;1;59;1;1;227;383;2;2;22;20;5;-;1;76;-;6;6;2;1;2;6;1;-;133;2;4;22;-;3;1;-;1000
"211140 São Luís Gonzaga do Maranhão";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;9;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;15
"211150 São Mateus do Maranhão";-;-;-;-;-;1;-;9;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;15
"211153 São Pedro da Água Branca";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;6
"211157 São Pedro dos Crentes";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"211160 São Raimundo das Mangabeiras";-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;12
"211163 São Raimundo do Doca Bezerra";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"211167 São Roberto";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"211170 São Vicente Ferrer";-;-;-;-;-;1;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;17
"211172 Satubinha";1;-;-;1;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"211174 Senador Alexandre Costa";-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;9
"211176 Senador La Rocque";2;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"211178 Serrano do Maranhão";-;-;-;1;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;10
"211180 Sítio Novo";-;-;-;-;-;-;-;8;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;12
"211190 Sucupira do Norte";-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"211195 Sucupira do Riachão";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"211200 Tasso Fragoso";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"211210 Timbiras";-;-;-;1;-;1;-;7;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;14
"211220 Timon";2;-;1;2;-;3;-;40;-;-;17;2;-;-;-;3;-;-;-;1;-;1;1;-;-;1;-;-;-;5;2;-;6;-;-;-;-;87
"211223 Trizidela do Vale";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"211227 Tufilândia";1;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;14
"211230 Tuntum";-;-;1;1;-;1;-;15;-;-;3;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;5;-;-;-;-;31
"211240 Turiaçu";-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;20
"211245 Turilândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;12
"211250 Tutóia";1;-;-;1;-;-;-;16;-;-;2;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;27
"211260 Urbano Santos";-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;11;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;23
"211270 Vargem Grande";1;-;-;1;-;-;-;14;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;23
"211280 Viana";-;-;-;-;-;1;-;20;-;-;-;-;-;-;-;2;-;-;-;-;-;4;-;-;-;1;-;-;-;3;3;-;-;-;-;-;-;34
"211285 Vila Nova dos Martírios";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;7
"211290 Vitória do Mearim";-;-;-;-;-;1;-;8;-;-;2;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;17
"211300 Vitorino Freire";1;-;-;1;-;1;-;14;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;23
"211400 Zé Doca";1;-;-;-;-;1;-;21;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;29
"220005 Acauã";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"220010 Agricolândia";-;-;-;-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;10
"220020 Água Branca";2;-;-;-;-;1;-;7;-;-;2;1;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;18
"220025 Alagoinha do Piauí";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"220027 Alegrete do Piauí";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"220030 Alto Longá";-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;9
"220040 Altos";1;-;-;-;-;1;-;2;-;-;1;-;-;-;-;1;-;-;-;1;-;13;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;24
"220045 Alvorada do Gurguéia";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"220050 Amarante";-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;9;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;24
"220060 Angical do Piauí";-;-;-;-;-;1;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;1;-;-;-;-;14
"220070 Anísio de Abreu";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;6
"220080 Antônio Almeida";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;4
"220090 Aroazes";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;8
"220095 Aroeiras do Itaim";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"220100 Arraial";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;7
"220105 Assunção do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;7
"220110 Avelino Lopes";-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;10
"220115 Baixa Grande do Ribeiro";-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"220117 Barra D'Alcântara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"220120 Barras";1;1;-;-;-;1;-;20;-;-;4;-;-;-;-;2;-;-;-;-;-;2;-;-;-;1;-;-;-;8;1;-;1;-;-;-;-;42
"220130 Barreiras do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"220140 Barro Duro";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"220150 Batalha";-;-;-;-;-;1;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;17;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;25
"220155 Bela Vista do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220157 Belém do Piauí";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"220160 Beneditinos";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;12
"220170 Bertolínia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;9
"220173 Betânia do Piauí";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;7
"220177 Boa Hora";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"220180 Bocaina";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;1;-;2;1;-;-;-;-;12
"220190 Bom Jesus";-;-;-;-;-;2;-;8;-;-;7;1;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;3;-;-;3;-;-;-;-;29
"220191 Bom Princípio do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;6
"220192 Bonfim do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220194 Boqueirão do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"220196 Brasileira";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;7
"220198 Brejo do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220200 Buriti dos Lopes";-;-;-;-;-;1;-;9;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;16
"220202 Buriti dos Montes";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"220205 Cabeceiras do Piauí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"220207 Cajazeiras do Piauí";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;7
"220208 Cajueiro da Praia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;7
"220209 Caldeirão Grande do Piauí";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"220210 Campinas do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;7
"220211 Campo Alegre do Fidalgo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"220213 Campo Grande do Piauí";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"220217 Campo Largo do Piauí";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"220220 Campo Maior";3;1;-;-;1;1;-;4;-;-;8;9;-;-;-;6;-;-;-;-;-;14;-;-;-;1;-;-;-;3;-;-;3;-;-;1;1;56
"220225 Canavieira";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;5
"220230 Canto do Buriti";-;-;-;-;-;1;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;2;-;-;-;-;17
"220240 Capitão de Campos";-;-;-;-;-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;12
"220245 Capitão Gervásio Oliveira";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"220250 Caracol";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;8
"220253 Caraúbas do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"220255 Caridade do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;5
"220260 Castelo do Piauí";1;-;-;-;-;1;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;6;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;17
"220265 Caxingó";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"220270 Cocal";-;-;-;1;-;1;-;11;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;20
"220271 Cocal de Telha";-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"220272 Cocal dos Alves";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"220273 Coivaras";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220275 Colônia do Gurguéia";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"220277 Colônia do Piauí";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"220280 Conceição do Canindé";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;6
"220285 Coronel José Dias";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"220290 Corrente";1;-;-;1;-;1;-;20;-;-;4;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;1;-;2;-;-;-;-;38
"220300 Cristalândia do Piauí";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;2;1;-;-;-;-;11
"220310 Cristino Castro";-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;11
"220320 Curimatá";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;2;-;-;-;-;11
"220323 Currais";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;7
"220327 Curral Novo do Piauí";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"220325 Curralinhos";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220330 Demerval Lobão";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;11
"220335 Dirceu Arcoverde";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;6
"220340 Dom Expedito Lopes";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;9
"220345 Dom Inocêncio";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;7
"220342 Domingos Mourão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220350 Elesbão Veloso";-;-;-;-;-;-;-;10;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;16
"220360 Eliseu Martins";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;9
"220370 Esperantina";-;-;-;-;-;1;-;16;-;-;5;3;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;32
"220375 Fartura do Piauí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220380 Flores do Piauí";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;8
"220385 Floresta do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"220390 Floriano";-;-;-;-;-;2;-;24;-;-;47;26;-;-;2;2;-;-;-;-;-;-;-;-;-;1;1;-;-;5;-;-;4;-;-;-;-;114
"220400 Francinópolis";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"220410 Francisco Ayres";-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;9
"220415 Francisco Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220420 Francisco Santos";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;10
"220430 Fronteiras";-;-;-;-;-;1;-;10;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;15
"220435 Geminiano";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"220440 Gilbués";-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;13
"220450 Guadalupe";-;-;-;-;-;1;-;5;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;1;2;-;-;-;-;16
"220455 Guaribas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"220460 Hugo Napoleão";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;8
"220465 Ilha Grande";1;-;-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;10
"220470 Inhuma";-;-;-;-;-;1;-;7;-;-;3;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;17
"220480 Ipiranga do Piauí";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;2;-;1;1;-;-;-;-;17
"220490 Isaías Coelho";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;7
"220500 Itainópolis";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;1;-;-;-;-;1;11
"220510 Itaueira";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3;-;-;-;-;11
