CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2019
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"314270 Montalvânia";-;-;-;-;-;-;-;9;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;18
"314280 Monte Alegre de Minas";1;-;-;-;-;1;-;5;-;-;1;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;14
"314290 Monte Azul";1;-;-;-;-;1;-;10;-;-;3;4;-;-;-;1;-;-;-;1;-;8;-;-;-;1;-;-;-;3;1;-;2;-;-;-;-;36
"314300 Monte Belo";1;-;-;-;-;-;-;5;-;-;6;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;20
"314310 Monte Carmelo";1;1;-;-;-;1;-;12;-;-;2;30;-;1;-;3;-;-;-;6;-;-;-;-;1;1;1;-;-;11;-;-;1;-;-;-;-;72
"314315 Monte Formoso";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;6
"314320 Monte Santo de Minas";1;-;-;-;-;1;-;6;-;-;5;13;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;1;-;-;-;-;-;-;34
"314340 Monte Sião";-;-;-;-;-;-;-;6;-;-;1;37;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;6;1;-;-;-;-;-;-;54
"314330 Montes Claros";2;1;1;-;1;3;-;93;-;-;233;294;3;6;-;8;7;-;-;9;3;-;1;-;-;3;2;1;-;39;3;-;10;-;-;-;-;723
"314345 Montezuma";3;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;11
"314350 Morada Nova de Minas";-;-;-;-;-;-;-;5;-;-;-;1;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;13
"314360 Morro da Garça";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"314370 Morro do Pilar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"314380 Munhoz";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"314390 Muriaé";-;-;-;-;-;2;-;34;-;-;32;132;-;2;2;2;-;-;-;3;-;6;-;-;-;1;2;-;-;24;2;-;2;-;-;-;-;246
"314400 Mutum";-;-;-;-;-;2;-;11;-;-;5;7;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;1;-;-;-;-;-;-;33
"314410 Muzambinho";-;-;-;-;-;-;-;8;-;-;1;26;-;1;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;45
"314420 Nacip Raydan";1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"314430 Nanuque";-;-;-;-;-;1;-;4;-;-;10;37;-;1;-;2;-;-;-;1;-;10;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;72
"314435 Naque";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;6
"314437 Natalândia";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"314440 Natércia";-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"314450 Nazareno";-;-;-;-;-;-;-;3;-;-;-;6;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;15
"314460 Nepomuceno";-;-;-;-;-;1;-;4;-;-;5;12;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;6;-;-;1;-;1;-;-;34
"314465 Ninheira";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;12
"314467 Nova Belém";1;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"314470 Nova Era";1;-;-;-;-;-;-;5;-;-;4;25;-;3;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;4;1;-;1;-;-;-;-;48
"314480 Nova Lima";-;-;-;-;1;2;-;21;-;-;63;104;2;3;2;2;-;-;-;1;-;-;2;-;-;1;-;-;-;21;-;-;1;-;-;-;1;227
"314490 Nova Módica";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"314500 Nova Ponte";-;-;-;-;-;-;-;3;-;-;4;7;-;1;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;23
"314505 Nova Porteirinha";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"314510 Nova Resende";-;-;-;-;-;1;-;6;-;-;3;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;25
"314520 Nova Serrana";-;-;-;-;-;2;-;21;-;-;10;24;-;4;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;18;-;-;2;-;-;-;-;87
"313660 Nova União";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;6
"314530 Novo Cruzeiro";-;-;-;-;-;1;-;10;-;-;-;11;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;30
"314535 Novo Oriente de Minas";1;-;-;-;-;-;-;6;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;11
"314537 Novorizonte";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"314540 Olaria";-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"314545 Olhos-d'Água";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;9
"314550 Olímpio Noronha";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"314560 Oliveira";1;-;-;-;-;3;-;14;-;-;15;37;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;2;8;-;-;3;-;1;-;-;89
"314570 Oliveira Fortes";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"314580 Onça de Pitangui";1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"314585 Oratórios";-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"314587 Orizânia";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;9
"314590 Ouro Branco";-;-;-;-;-;1;-;10;-;-;21;50;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;-;1;-;-;-;-;90
"314600 Ouro Fino";-;-;-;-;-;-;-;6;-;-;5;51;-;1;-;1;-;-;-;1;-;9;1;-;-;1;-;-;-;9;3;-;2;-;-;-;-;90
"314610 Ouro Preto";-;-;1;-;-;3;-;23;-;-;15;97;-;-;-;1;1;-;-;2;-;19;-;-;1;1;-;-;-;20;-;-;3;-;-;-;-;187
"314620 Ouro Verde de Minas";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"314625 Padre Carvalho";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"314630 Padre Paraíso";1;-;-;-;-;1;-;9;-;-;1;3;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;22
"314655 Pai Pedro";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;8
"314640 Paineiras";-;-;-;-;-;-;-;3;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;10
"314650 Pains";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"314660 Paiva";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"314670 Palma";1;-;-;-;-;1;-;4;-;-;1;5;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;19
"314675 Palmópolis";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"314690 Papagaios";-;-;-;-;-;-;-;4;-;-;2;5;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;17
"314710 Pará de Minas";1;-;-;-;-;2;-;21;-;-;20;148;-;1;-;1;1;-;-;1;-;4;2;-;-;1;-;-;-;13;-;-;1;-;-;-;-;217
"314700 Paracatu";-;-;-;-;-;1;-;15;-;-;8;101;-;-;-;1;1;-;-;3;-;4;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;137
"314720 Paraguaçu";-;1;-;-;-;-;-;5;-;-;7;3;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;25
"314730 Paraisópolis";-;-;-;-;-;-;-;5;-;-;5;29;-;1;-;1;-;-;-;2;-;1;-;-;-;1;-;-;-;8;-;-;1;-;-;-;-;54
"314740 Paraopeba";-;-;-;-;-;-;-;6;-;-;1;24;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;6;1;-;-;-;-;-;-;42
"314760 Passa Quatro";-;1;-;-;-;1;-;6;-;-;1;24;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;38
"314770 Passa Tempo";-;-;-;-;-;-;-;4;-;-;2;1;-;1;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"314780 Passa-Vinte";-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"314750 Passabém";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"314790 Passos";-;1;-;-;-;2;-;27;-;-;27;268;-;-;-;2;-;-;-;2;-;-;1;-;-;2;-;-;-;11;1;-;2;-;-;-;-;346
"314795 Patis";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"314800 Patos de Minas";2;2;1;-;1;2;-;26;-;1;64;341;1;66;-;6;1;-;-;7;-;3;1;-;-;2;4;-;-;26;1;-;4;-;4;-;-;566
"314810 Patrocínio";1;-;-;-;-;2;-;15;-;-;35;117;-;-;1;3;-;-;-;1;-;-;-;-;1;1;1;-;-;15;-;-;3;-;1;-;-;197
"314820 Patrocínio do Muriaé";-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;8
"314830 Paula Cândido";-;-;-;-;-;-;-;4;-;-;1;4;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;14
"314840 Paulistas";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"314850 Pavão";1;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;9
"314860 Peçanha";-;-;-;-;-;1;-;3;-;-;-;10;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;5;-;-;-;-;-;-;-;23
"314870 Pedra Azul";1;-;-;-;-;2;-;7;-;-;2;10;-;1;-;1;-;-;1;1;-;2;-;-;-;2;-;-;-;4;-;-;1;-;-;-;-;35
"314875 Pedra Bonita";1;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;8
"314880 Pedra do Anta";-;-;-;-;-;1;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"314890 Pedra do Indaiá";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"314900 Pedra Dourada";1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"314910 Pedralva";1;-;-;-;-;-;-;4;-;-;1;9;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;22
"314915 Pedras de Maria da Cruz";1;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;13
"314920 Pedrinópolis";-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"314930 Pedro Leopoldo";-;-;-;-;-;1;-;15;-;-;17;91;1;1;-;2;-;-;-;7;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;1;146
"314940 Pedro Teixeira";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"314950 Pequeri";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"314960 Pequi";-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"314970 Perdigão";-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;-;-;12
"314980 Perdizes";-;-;-;-;-;-;-;5;-;-;4;11;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;3;1;1;-;-;-;-;-;32
"314990 Perdões";-;-;-;-;-;1;-;8;-;-;3;22;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;-;1;-;-;43
"314995 Periquito";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;7
"315000 Pescador";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"315010 Piau";-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"315015 Piedade de Caratinga";-;-;-;-;-;-;-;4;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"315020 Piedade de Ponte Nova";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"315030 Piedade do Rio Grande";-;-;-;-;-;-;-;2;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"315040 Piedade dos Gerais";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"315050 Pimenta";1;-;-;-;-;1;-;3;-;-;1;1;-;2;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;14
"315053 Pingo-d'Água";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"315057 Pintópolis";1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;8
"315060 Piracema";-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;-;10
"315070 Pirajuba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"315080 Piranga";-;-;-;-;-;1;-;1;-;-;3;2;-;-;-;1;-;-;-;-;-;11;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;24
"315090 Piranguçu";-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;9
"315100 Piranguinho";1;-;-;-;-;-;-;1;-;-;-;6;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;15
"315110 Pirapetinga";-;-;-;-;-;1;-;4;-;-;5;8;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21
"315120 Pirapora";1;-;-;-;-;2;-;16;-;-;52;19;-;1;-;2;1;-;1;1;-;-;-;-;-;2;-;-;-;7;1;-;2;-;-;-;-;108
"315130 Piraúba";-;-;-;-;-;-;-;6;-;-;3;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;21
"315140 Pitangui";-;-;-;-;-;1;-;8;-;-;2;21;-;1;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;7;-;-;1;-;-;-;-;46
"315150 Piumhi";1;-;-;-;-;2;-;11;-;-;12;64;-;3;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;5;-;-;2;-;-;-;-;103
"315160 Planura";-;-;-;-;-;-;-;5;-;-;2;4;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;15
"315170 Poço Fundo";-;-;-;-;-;1;-;6;-;-;2;5;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;-;-;25
"315180 Poços de Caldas";-;1;1;-;-;2;-;35;-;-;124;589;2;1;-;5;4;-;-;2;-;1;2;-;-;1;1;-;-;40;4;-;5;-;1;-;-;821
"315190 Pocrane";-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;9
"315200 Pompéu";1;-;-;-;-;1;-;8;-;-;8;20;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;-;-;48
"315210 Ponte Nova";-;1;-;-;1;1;-;7;-;-;9;158;-;1;-;2;-;-;-;1;-;10;-;-;-;2;-;-;-;16;1;-;-;-;3;-;-;213
"315213 Ponto Chique";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;7
"315217 Ponto dos Volantes";1;-;-;-;-;-;-;7;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;15
"315220 Porteirinha";1;-;-;-;-;-;-;15;-;-;13;14;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;-;53
"315230 Porto Firme";-;-;-;-;-;1;-;5;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;11
"315240 Poté";1;-;-;-;-;1;-;6;-;-;-;3;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;15
"315250 Pouso Alegre";-;-;-;-;1;2;-;21;-;-;10;675;-;-;-;3;3;-;2;4;-;9;1;-;-;2;2;-;-;81;-;-;2;-;-;-;1;819
"315260 Pouso Alto";-;1;-;-;-;-;-;3;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;9
"315270 Prados";1;-;-;-;-;-;-;3;-;-;1;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;11
"315280 Prata";2;-;-;-;1;1;-;7;-;-;3;12;-;-;-;1;-;-;-;1;-;5;1;-;-;1;-;-;-;3;-;-;1;-;-;-;-;39
"315290 Pratápolis";-;-;-;-;-;-;-;4;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;10
"315300 Pratinha";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;6
"315310 Presidente Bernardes";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"315320 Presidente Juscelino";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"315330 Presidente Kubitschek";1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"315340 Presidente Olegário";1;-;-;-;-;1;-;7;-;-;1;11;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;27
"315360 Prudente de Morais";-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"315370 Quartel Geral";1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"315380 Queluzito";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"315390 Raposos";1;-;-;-;-;-;-;4;-;-;2;1;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"315400 Raul Soares";-;-;-;-;-;1;-;9;-;-;2;22;-;-;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;11;-;-;-;-;-;-;-;50
"315410 Recreio";-;-;-;-;-;-;-;3;-;-;-;5;-;1;-;1;-;-;-;-;-;3;-;-;1;1;-;-;-;5;-;-;-;-;-;-;-;20
"315415 Reduto";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;6
"315420 Resende Costa";-;-;-;-;-;-;-;4;-;-;-;17;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;31
"315430 Resplendor";-;-;-;-;-;1;-;5;-;-;1;8;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;22
"315440 Ressaquinha";-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"315445 Riachinho";-;-;-;-;-;-;-;6;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"315450 Riacho dos Machados";-;-;-;-;-;-;-;4;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;10
"315460 Ribeirão das Neves";-;1;-;-;-;3;-;66;-;-;19;27;-;1;-;1;1;-;-;-;-;-;2;-;-;1;-;-;-;12;2;-;4;-;-;-;-;140
"315470 Ribeirão Vermelho";-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"315480 Rio Acima";-;-;-;-;-;-;-;3;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;8
"315490 Rio Casca";1;-;-;-;-;1;-;5;-;-;2;21;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;-;39
"315510 Rio do Prado";-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
