CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2018
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"230280 Canindé";-;-;-;2;-;2;-;-;-;4;16;-;2;-;1;-;-;-;1;-;16;1;-;-;2;-;-;-;7;-;-;3;-;-;-;-;57
"230290 Capistrano";1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;10;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;18
"230300 Caridade";1;-;-;1;-;-;-;7;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"230310 Cariré";-;1;-;-;-;1;-;12;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"230320 Caririaçu";-;1;-;1;-;1;-;1;-;2;-;-;1;-;1;-;-;-;-;-;13;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;23
"230330 Cariús";-;1;-;-;-;1;-;9;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3;-;-;-;-;-;-;20
"230340 Carnaubal";-;-;-;-;-;1;-;8;-;3;6;-;1;-;-;-;-;-;-;-;8;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;31
"230350 Cascavel";1;-;-;-;-;1;-;15;-;5;8;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;36
"230360 Catarina";-;-;-;-;-;1;-;5;-;2;-;-;-;-;1;-;-;-;-;-;3;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;15
"230365 Catunda";-;-;-;-;-;-;-;6;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"230370 Caucaia";1;-;-;6;-;3;-;50;-;43;13;-;-;1;2;-;-;-;10;-;1;2;-;-;2;-;5;-;7;-;-;7;-;1;-;-;154
"230380 Cedro";1;-;-;1;-;1;-;12;-;3;2;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;27
"230390 Chaval";1;-;-;-;-;-;-;6;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"230393 Choró";1;-;-;-;-;-;-;6;-;1;-;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"230395 Chorozinho";1;-;-;1;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;21
"230400 Coreaú";-;-;-;-;-;1;-;10;-;1;1;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"230410 Crateús";1;1;-;1;-;1;-;9;-;16;19;-;-;-;1;-;-;-;3;-;12;1;1;-;2;-;1;-;3;2;-;-;-;1;-;-;75
"230420 Crato";-;1;-;-;1;2;-;21;-;43;89;-;-;-;4;-;1;-;4;-;14;-;-;-;2;-;-;-;13;1;-;2;-;1;-;-;199
"230423 Croatá";-;-;-;-;-;1;-;8;-;1;3;-;1;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;20
"230425 Cruz";2;1;-;1;-;1;-;12;-;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;24
"230426 Deputado Irapuan Pinheiro";1;1;-;1;-;-;-;4;-;2;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;17
"230427 Ererê";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"230428 Eusébio";1;-;1;-;-;2;-;17;-;29;16;-;-;-;1;2;-;-;-;-;-;1;-;-;1;1;-;-;1;1;-;2;-;-;-;-;76
"230430 Farias Brito";2;-;-;-;-;1;-;7;-;4;-;-;1;-;1;-;-;-;-;-;10;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;29
"230435 Forquilha";2;-;-;1;-;1;1;5;-;3;1;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;21
"230440 Fortaleza";-;2;1;-;2;20;-;114;3;1723;3718;26;2;39;35;7;1;-;10;-;-;13;6;-;8;77;2;-;88;6;-;32;-;5;2;1;5943
"230445 Fortim";-;-;-;1;-;1;-;7;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"230450 Frecheirinha";-;-;-;-;-;-;-;5;-;2;-;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"230460 General Sampaio";1;-;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;13
"230465 Graça";-;-;-;1;-;1;-;8;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"230470 Granja";-;1;-;-;-;1;-;16;-;3;1;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;-;-;-;-;-;29
"230480 Granjeiro";-;-;-;-;-;-;-;3;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"230490 Groaíras";1;-;-;-;-;-;-;3;-;1;-;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"230495 Guaiúba";-;-;-;-;-;1;-;9;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;16
"230500 Guaraciaba do Norte";-;-;-;1;-;1;-;13;-;4;4;-;1;-;1;-;-;-;2;-;4;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;36
"230510 Guaramiranga";-;-;-;-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"230520 Hidrolândia";1;-;-;-;-;-;-;6;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;13
"230523 Horizonte";1;1;-;-;-;2;-;16;-;9;6;-;2;-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;43
"230526 Ibaretama";-;1;-;2;-;-;-;6;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;15
"230530 Ibiapina";-;-;-;-;-;2;-;11;-;2;2;-;2;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;27
"230533 Ibicuitinga";-;-;-;1;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;15
"230535 Icapuí";-;-;-;1;-;1;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;14
"230540 Icó";1;-;-;2;-;3;-;21;-;12;10;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;4;1;-;-;-;1;-;-;59
"230550 Iguatu";1;-;-;-;1;3;-;27;-;17;54;-;2;-;4;-;-;-;2;-;-;1;-;-;2;1;-;-;14;1;-;2;-;-;-;-;132
"230560 Independência";-;-;-;2;-;1;-;9;-;3;2;-;-;-;-;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;29
"230565 Ipaporanga";1;-;-;-;-;1;-;6;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;14
"230570 Ipaumirim";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"230580 Ipu";1;1;-;1;-;1;-;18;-;2;4;-;1;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;38
"230590 Ipueiras";1;-;-;-;-;1;-;5;-;1;-;-;1;-;1;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;20
"230600 Iracema";1;-;-;-;-;-;-;6;-;1;2;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;16
"230610 Irauçuba";1;1;-;-;-;1;-;9;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;20
"230620 Itaiçaba";-;-;-;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"230625 Itaitinga";-;-;-;1;-;1;-;19;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;28
"230630 Itapagé";-;-;-;1;-;1;-;18;-;5;4;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;36
"230640 Itapipoca";-;1;-;3;-;1;-;38;-;13;36;-;2;-;2;-;-;-;6;-;-;1;-;-;2;-;1;-;11;2;-;2;-;-;-;1;122
"230650 Itapiúna";1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"230655 Itarema";1;-;-;-;-;1;-;13;-;2;-;-;2;-;1;-;-;-;1;-;-;-;-;-;1;-;1;-;5;-;-;-;-;-;-;-;28
"230660 Itatira";1;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;18
"230670 Jaguaretama";1;-;-;-;-;1;-;8;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;16
"230680 Jaguaribara";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"230690 Jaguaribe";2;-;-;-;-;-;-;12;-;8;12;-;1;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;42
"230700 Jaguaruana";1;1;-;2;-;1;-;12;-;2;3;-;-;-;1;-;-;-;-;-;18;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;46
"230710 Jardim";-;-;-;2;-;1;-;-;-;2;-;-;1;-;1;-;-;-;-;-;13;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21
"230720 Jati";1;-;-;1;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;14
"230725 Jijoca de Jericoacoara";-;-;-;-;-;1;-;6;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;-;15
"230730 Juazeiro do Norte";-;2;1;-;1;3;-;50;1;92;187;-;1;1;5;-;1;-;2;1;-;1;-;-;2;1;-;-;83;1;-;7;-;1;-;-;444
"230740 Jucás";-;-;-;1;-;1;-;5;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;17
"230750 Lavras da Mangabeira";-;-;-;-;-;1;-;10;-;4;4;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;22
"230760 Limoeiro do Norte";-;-;-;-;-;2;-;5;-;13;49;-;1;-;3;1;-;-;2;-;13;-;-;-;2;-;-;-;3;-;-;2;-;-;-;-;96
"230763 Madalena";-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"230765 Maracanaú";1;-;-;-;-;3;-;29;-;46;87;-;8;4;4;-;-;-;1;-;-;1;-;-;2;-;2;-;1;1;-;6;-;1;-;-;197
"230770 Maranguape";-;-;-;-;-;3;-;30;-;7;10;1;-;-;2;-;-;3;1;-;-;1;-;-;1;-;-;-;1;1;-;2;-;1;-;-;64
"230780 Marco";-;-;-;1;-;1;-;7;-;3;2;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;19
"230790 Martinópole";-;-;-;-;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;10
"230800 Massapê";-;-;-;-;-;-;-;12;-;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;18
"230810 Mauriti";1;1;-;4;-;1;-;24;-;8;5;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;51
"230820 Meruoca";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;-;-;-;6;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;16
"230830 Milagres";-;-;-;-;-;1;-;7;-;2;6;-;1;-;2;-;-;-;2;-;8;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;34
"230835 Milhã";-;1;-;1;-;1;-;5;-;3;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;16
"230837 Miraíma";-;1;-;1;-;-;-;6;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;12
"230840 Missão Velha";2;-;-;1;-;1;-;15;-;4;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;9;-;-;-;-;-;-;-;36
"230850 Mombaça";-;-;-;-;-;-;-;12;-;4;3;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;-;-;1;1;-;1;-;-;-;-;26
"230860 Monsenhor Tabosa";1;-;-;-;-;1;-;7;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;3;-;2;1;-;-;-;-;-;-;19
"230870 Morada Nova";-;-;-;2;-;1;-;23;-;4;15;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;54
"230880 Moraújo";-;-;-;-;-;-;-;5;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;10
"230890 Morrinhos";1;-;-;-;-;1;-;7;-;1;-;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;17
"230900 Mucambo";1;-;-;-;-;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;10
"230910 Mulungu";-;-;-;-;-;1;-;5;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"230920 Nova Olinda";1;-;-;-;-;-;-;6;-;2;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;16
"230930 Nova Russas";-;-;-;-;-;-;-;1;-;5;6;-;-;-;1;-;-;-;1;-;10;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;25
"230940 Novo Oriente";1;-;-;1;-;1;-;11;-;2;1;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;25
"230945 Ocara";3;1;-;1;-;1;-;12;-;1;-;-;1;-;1;-;-;-;-;-;6;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;31
"230950 Orós";-;-;-;-;-;1;-;10;-;3;1;-;-;-;1;-;-;-;-;-;9;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;28
"230960 Pacajus";2;-;-;1;-;1;-;18;-;10;15;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;52
"230970 Pacatuba";-;-;-;-;-;-;-;18;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;1;-;-;-;1;26
"230980 Pacoti";-;-;-;-;-;1;-;6;-;1;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"230990 Pacujá";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;8
"231000 Palhano";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;13
"231010 Palmácia";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"231020 Paracuru";1;-;-;2;-;1;-;2;-;1;3;-;-;-;1;-;-;1;-;-;10;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;24
"231025 Paraipaba";-;-;-;1;-;2;-;10;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;1;-;-;-;-;24
"231030 Parambu";-;1;-;3;-;1;-;8;-;5;2;-;1;-;1;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;30
"231040 Paramoti";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;8
"231050 Pedra Branca";1;-;-;1;-;1;-;16;-;2;4;-;10;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;39
"231060 Penaforte";-;-;-;1;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;13
"231070 Pentecoste";1;1;-;-;-;1;-;15;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;1;1;-;1;-;-;-;-;26
"231080 Pereiro";1;-;-;1;-;-;-;8;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;14
"231085 Pindoretama";1;-;-;-;-;-;-;10;-;1;2;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;19
"231090 Piquet Carneiro";1;-;-;-;-;1;1;6;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;15
"231095 Pires Ferreira";1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"231100 Poranga";-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;11
"231110 Porteiras";-;-;-;1;-;1;-;7;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;15
"231120 Potengi";-;-;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;12
"231123 Potiretama";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;7
"231126 Quiterianópolis";1;1;-;20;-;1;-;9;-;1;4;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;40
"231130 Quixadá";1;1;-;1;1;2;-;16;-;15;67;-;1;-;2;-;-;-;3;-;-;1;-;-;2;-;-;-;-;1;-;2;-;-;-;-;116
"231135 Quixelô";2;1;-;4;-;1;-;7;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"231140 Quixeramobim";1;1;-;-;-;2;-;27;-;3;20;-;1;1;2;-;-;-;2;-;-;1;-;-;2;-;-;-;-;2;-;2;-;-;-;-;67
"231150 Quixeré";-;-;-;-;-;-;-;5;-;1;5;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;16
"231160 Redenção";1;1;-;2;-;1;-;8;-;4;1;-;-;-;1;-;-;-;-;-;12;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;34
"231170 Reriutaba";1;1;-;-;-;-;-;8;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"231180 Russas";1;1;-;3;-;1;-;19;-;17;22;-;3;-;1;1;-;1;1;-;-;1;-;-;2;-;-;-;2;1;-;2;-;-;-;-;79
"231190 Saboeiro";1;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;14
"231195 Salitre";2;-;-;1;-;-;-;9;-;1;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;21
"231220 Santa Quitéria";-;-;-;-;-;1;-;13;-;6;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;27
"231200 Santana do Acaraú";-;-;-;-;-;1;-;10;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;17
"231210 Santana do Cariri";-;-;-;-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;11
"231230 São Benedito";-;-;-;-;-;1;-;15;-;7;9;-;1;-;2;-;-;-;-;-;1;1;-;-;1;-;1;-;4;-;-;1;-;-;-;-;44
"231240 São Gonçalo do Amarante";-;1;-;1;-;1;-;17;-;5;7;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;1;-;-;2;-;-;-;-;42
"231250 São João do Jaguaribe";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"231260 São Luís do Curu";1;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;13
"231270 Senador Pompeu";-;1;-;-;-;1;-;11;-;4;4;-;1;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;29
"231280 Senador Sá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;5
"231290 Sobral";2;3;1;-;1;3;-;38;1;74;94;-;4;1;5;-;-;-;9;-;-;1;-;-;2;-;-;-;14;2;-;5;-;3;-;1;264
"231300 Solonópole";-;1;-;-;-;1;-;9;-;3;-;-;1;-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;22
"231310 Tabuleiro do Norte";1;-;-;1;-;-;-;9;-;5;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;27
"231320 Tamboril";-;-;-;-;-;2;-;12;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;20
"231325 Tarrafas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"231330 Tauá";-;-;-;2;-;2;-;19;-;16;9;-;1;-;1;-;1;-;1;-;-;1;-;-;2;-;-;-;6;1;-;2;-;-;-;-;64
"231335 Tejuçuoca";-;-;-;-;-;-;-;8;-;-;1;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;16
"231340 Tianguá";-;1;-;-;-;1;-;27;-;17;16;-;1;-;1;-;-;-;3;-;6;-;-;-;2;-;-;-;4;-;-;-;-;1;-;-;80
"231350 Trairi";-;1;-;1;-;1;-;16;-;1;3;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;28
"231355 Tururu";-;-;-;-;-;-;-;7;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"231360 Ubajara";-;-;-;-;-;1;-;10;-;3;3;-;1;-;1;-;-;-;-;-;7;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;28
"231370 Umari";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"231375 Umirim";1;1;-;-;-;1;-;7;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;14
"231380 Uruburetama";-;-;-;1;-;1;-;11;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;19
"231390 Uruoca";1;-;-;-;-;-;-;7;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"231395 Varjota";-;-;-;-;-;1;-;7;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;12
"231400 Várzea Alegre";1;-;-;-;-;1;-;12;-;4;7;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;33
"231410 Viçosa do Ceará";1;-;-;-;-;1;-;16;-;2;5;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;32
"240010 Acari";1;-;-;-;-;-;-;6;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;12
"240020 Açu";1;-;-;-;-;1;-;17;-;11;10;1;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;10;-;-;2;-;-;-;-;57
"240030 Afonso Bezerra";-;-;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;9
