CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"320340 Mimoso do Sul";-;-;-;-;-;10;-;3;12;-;-;-;1;-;-;-;3;-;-;-;1;-;4;-;-;-;-;-;-;34
"320350 Montanha";-;-;-;-;-;7;-;3;9;-;-;-;2;-;-;2;1;-;-;-;-;-;2;1;-;-;-;1;-;28
"320360 Mucurici";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;8
"320370 Muniz Freire";-;-;-;-;-;6;-;-;6;-;-;-;1;-;-;1;2;-;-;-;1;-;3;1;-;-;-;1;-;22
"320380 Muqui";-;-;-;-;-;6;-;1;5;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;16
"320390 Nova Venécia";-;-;-;1;-;9;-;10;31;-;2;-;2;-;-;1;11;-;-;-;1;-;4;-;-;-;-;-;-;72
"320400 Pancas";-;-;-;-;-;8;-;1;1;-;-;-;1;-;-;2;-;-;-;-;1;-;2;1;-;-;-;-;-;17
"320405 Pedro Canário";-;-;-;-;-;4;-;1;8;-;1;-;1;-;-;1;3;-;-;-;1;-;2;-;-;-;-;1;-;23
"320410 Pinheiros";-;-;-;-;-;7;-;2;7;-;-;-;2;-;-;3;5;-;-;-;1;-;2;-;-;-;-;1;-;30
"320420 Piúma";-;-;-;-;-;4;-;4;8;-;-;-;1;-;-;-;7;-;-;-;-;-;3;-;-;-;-;-;-;27
"320425 Ponto Belo";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;6
"320430 Presidente Kennedy";-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"320435 Rio Bananal";-;-;-;-;-;3;-;-;8;-;-;-;1;-;-;-;2;-;-;-;-;-;7;-;-;-;-;-;-;21
"320440 Rio Novo do Sul";-;-;-;-;-;5;-;1;5;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;15
"320450 Santa Leopoldina";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;7
"320455 Santa Maria de Jetibá";-;-;-;-;-;9;-;5;13;-;1;-;1;-;-;2;5;-;-;-;1;-;6;3;-;-;-;1;-;47
"320460 Santa Teresa";-;-;-;1;-;14;-;1;25;-;-;-;1;-;-;1;-;-;-;-;-;-;6;1;-;-;-;1;-;51
"320465 São Domingos do Norte";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;9
"320470 São Gabriel da Palha";-;-;-;-;-;7;-;4;30;-;-;-;2;-;-;2;5;-;-;-;-;-;5;1;-;-;-;-;-;56
"320480 São José do Calçado";-;-;-;1;-;4;-;-;7;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;-;1;-;19
"320490 São Mateus";-;-;-;1;-;28;-;21;96;-;1;-;2;-;-;1;-;-;-;-;1;-;16;1;-;-;-;1;-;169
"320495 São Roque do Canaã";-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;15
"320500 Serra";-;-;-;2;-;34;-;75;95;-;-;4;3;-;-;15;1;2;1;-;1;-;16;-;-;-;-;1;-;250
"320501 Sooretama";-;-;-;-;-;1;-;3;1;-;-;-;-;-;-;-;5;1;-;-;1;-;-;1;-;-;-;-;-;13
"320503 Vargem Alta";-;-;-;1;-;11;-;1;3;-;-;-;1;-;-;-;2;-;-;-;-;-;2;-;-;-;-;2;-;23
"320506 Venda Nova do Imigrante";-;-;-;-;-;5;-;4;41;-;1;-;1;-;-;4;1;-;-;-;1;-;5;-;-;-;-;-;-;63
"320510 Viana";-;-;-;-;-;19;-;5;1;-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;-;-;-;1;-;31
"320515 Vila Pavão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;7
"320517 Vila Valério";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;3;1;-;-;-;1;-;11
"320520 Vila Velha";-;-;-;1;-;19;1;107;321;-;-;1;11;-;-;16;2;1;-;-;1;-;30;3;-;1;-;-;-;515
"320530 Vitória";6;-;-;4;-;30;-;294;700;-;-;6;16;1;1;19;1;2;-;-;2;-;87;2;-;4;-;1;-;1176
"330010 Angra dos Reis";-;-;1;3;-;45;1;25;149;-;2;-;5;-;-;5;-;5;-;1;1;1;13;2;-;1;1;2;-;263
"330015 Aperibé";-;-;-;-;-;4;-;3;1;-;-;-;1;-;-;1;2;-;-;-;1;-;-;1;-;-;-;-;-;14
"330020 Araruama";-;-;1;-;-;1;1;24;106;-;-;-;6;-;-;2;16;-;-;1;1;-;13;1;-;-;-;-;-;173
"330022 Areal";-;-;-;-;-;5;-;1;3;-;-;-;1;-;-;1;-;-;-;-;1;-;3;1;-;-;-;-;-;16
"330023 Armação dos Búzios";-;-;-;-;-;12;-;4;6;-;-;-;1;-;-;2;-;-;-;1;1;-;4;1;-;-;-;-;-;32
"330025 Arraial do Cabo";-;-;-;-;-;7;-;3;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13
"330030 Barra do Piraí";-;-;-;1;-;27;-;23;70;-;2;1;4;1;-;15;-;-;-;1;1;-;7;1;-;-;-;1;-;155
"330040 Barra Mansa";-;-;-;3;-;36;3;33;183;-;2;6;3;-;-;4;10;-;-;1;1;-;43;3;-;1;-;2;-;334
"330045 Belford Roxo";6;-;-;2;-;35;1;28;17;-;3;3;1;-;1;13;-;-;-;3;1;-;6;2;-;-;-;-;-;122
"330050 Bom Jardim";-;1;1;1;-;10;-;2;9;-;1;-;1;-;-;1;1;-;-;-;1;-;3;1;-;-;-;-;-;33
"330060 Bom Jesus do Itabapoana";-;1;-;1;-;17;-;5;64;-;-;1;1;-;-;4;1;-;-;-;1;-;15;-;-;-;-;1;-;112
"330070 Cabo Frio";-;-;-;2;-;4;-;20;117;-;-;7;6;-;-;3;28;-;-;3;-;-;16;1;-;-;-;-;-;207
"330080 Cachoeiras de Macacu";-;1;-;1;-;17;-;13;16;-;1;-;1;-;-;4;-;-;-;-;1;-;5;3;-;-;-;-;-;63
"330090 Cambuci";-;-;-;-;-;6;-;3;-;-;-;-;1;-;-;-;4;-;-;1;1;-;-;-;-;-;-;-;-;16
"330100 Campos dos Goytacazes";-;-;-;4;-;71;2;112;537;-;1;4;11;-;-;26;6;7;2;-;1;-;35;2;-;2;-;1;-;824
"330110 Cantagalo";-;-;-;1;-;10;-;4;18;-;-;-;1;-;-;-;1;-;-;-;-;-;7;1;-;-;-;1;-;44
"330093 Carapebus";-;-;-;-;-;-;1;7;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;2;-;-;-;-;-;16
"330115 Cardoso Moreira";-;-;-;-;-;5;-;4;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;1;-;-;1;-;-;17
"330120 Carmo";-;-;-;1;-;4;-;3;3;-;-;-;1;-;-;-;7;-;-;-;1;-;4;2;-;-;-;1;-;27
"330130 Casimiro de Abreu";-;-;-;-;-;10;-;5;11;-;-;-;2;-;-;2;-;-;-;-;1;-;7;1;-;-;-;2;-;41
"330095 Comendador Levy Gasparian";-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;5;-;-;-;-;-;1;1;-;-;-;-;-;11
"330140 Conceição de Macabu";-;-;-;1;-;1;-;3;7;-;-;-;1;-;-;-;11;-;-;-;-;-;4;1;-;-;-;-;-;29
"330150 Cordeiro";-;-;-;1;-;6;-;1;13;-;-;-;1;-;-;1;-;-;-;-;1;-;10;-;-;-;-;-;-;34
"330160 Duas Barras";-;-;-;-;-;4;-;2;4;-;-;-;1;-;-;-;2;-;-;-;1;-;3;-;-;-;-;-;-;17
"330170 Duque de Caxias";-;-;-;3;-;38;2;135;213;-;-;7;10;-;-;13;54;2;-;6;1;-;44;1;-;-;-;3;-;532
"330180 Engenheiro Paulo de Frontin";-;-;-;1;-;6;-;3;-;-;-;-;1;-;-;1;4;-;-;1;1;-;-;1;-;-;-;-;-;19
"330185 Guapimirim";-;-;-;1;-;-;-;3;1;-;-;-;1;-;-;1;9;-;-;1;-;-;-;1;-;-;-;-;-;18
"330187 Iguaba Grande";-;-;-;-;-;8;-;3;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;-;-;-;-;16
"330190 Itaboraí";-;-;-;2;-;46;1;13;45;-;1;2;2;-;-;3;4;-;-;-;1;-;26;1;-;1;-;3;-;151
"330200 Itaguaí";-;-;-;2;-;32;-;20;36;-;1;-;1;-;-;2;1;-;-;2;1;-;3;1;-;1;-;-;-;103
"330205 Italva";-;-;-;1;-;5;-;2;1;-;-;-;1;-;-;-;3;-;-;1;1;-;1;1;-;-;-;1;-;18
"330210 Itaocara";-;-;-;1;-;3;1;4;1;-;-;-;2;-;-;2;5;-;-;-;1;-;2;1;-;-;-;-;-;23
"330220 Itaperuna";-;2;-;3;-;20;1;40;227;-;2;1;3;-;-;4;5;1;-;1;-;-;11;3;-;-;-;1;-;325
"330225 Itatiaia";-;-;-;1;-;5;-;7;8;-;-;1;1;-;-;2;2;-;-;-;1;-;3;1;-;-;-;-;-;32
"330227 Japeri";-;-;-;1;-;3;-;1;1;-;-;-;1;-;-;2;6;-;1;1;1;-;2;-;-;-;-;1;-;21
"330230 Laje do Muriaé";-;-;-;-;-;4;-;2;2;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;13
"330240 Macaé";-;1;2;3;1;52;2;105;365;-;3;1;4;-;-;7;-;1;2;1;-;-;42;1;-;-;-;1;-;594
"330245 Macuco";-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"330250 Magé";-;-;-;2;-;62;-;20;29;-;1;-;4;-;-;1;2;-;-;5;1;-;17;-;-;-;-;-;-;144
"330260 Mangaratiba";-;1;-;1;-;5;-;3;3;-;-;-;1;-;-;-;11;-;-;-;1;-;-;3;-;1;-;1;-;31
"330270 Maricá";-;-;-;-;-;15;-;13;35;-;-;-;2;-;-;1;8;1;-;-;1;-;8;2;-;-;-;1;-;87
"330280 Mendes";-;-;-;6;-;9;-;5;13;-;-;-;1;-;-;1;1;-;-;-;1;-;1;1;-;-;-;-;-;39
"330285 Mesquita";-;-;-;2;-;22;-;6;5;-;2;-;1;-;-;3;-;-;-;-;1;-;8;1;1;1;-;1;-;54
"330290 Miguel Pereira";-;-;-;1;-;-;1;3;28;-;-;-;1;-;-;10;12;-;-;-;1;-;11;1;-;-;-;1;-;70
"330300 Miracema";-;-;-;1;-;8;1;6;4;-;-;-;2;-;-;1;1;1;-;-;-;-;2;-;-;-;-;-;-;27
"330310 Natividade";-;-;-;1;-;6;1;3;12;-;-;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;28
"330320 Nilópolis";-;-;-;1;-;7;-;27;101;-;1;3;3;-;-;6;5;1;-;-;-;-;18;1;-;-;-;-;-;174
"330330 Niterói";-;-;-;5;-;14;1;204;942;-;-;20;19;2;-;20;31;1;-;1;-;-;128;1;-;-;-;1;-;1390
"330340 Nova Friburgo";-;-;1;1;-;19;-;37;348;-;-;2;5;-;-;5;-;-;-;1;1;-;11;-;-;-;-;2;-;433
"330350 Nova Iguaçu";-;-;-;3;-;15;-;155;300;-;-;5;5;-;-;40;47;2;1;1;1;-;53;1;4;1;-;1;-;635
"330360 Paracambi";-;-;-;14;-;10;-;5;16;-;1;2;2;-;-;-;5;-;-;-;-;-;8;1;-;-;-;1;-;65
"330370 Paraíba do Sul";-;-;1;2;-;18;-;8;27;-;1;1;1;-;-;1;-;-;-;-;1;-;5;1;-;-;-;-;-;67
"330380 Paraty";-;-;-;1;-;9;-;4;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;18
"330385 Paty do Alferes";-;-;-;-;-;7;-;2;5;-;-;-;-;-;-;2;4;-;-;-;-;-;3;1;-;-;-;-;-;24
"330390 Petrópolis";-;-;-;3;-;41;-;76;143;2;-;5;5;-;-;14;8;2;-;2;1;-;23;1;-;-;-;2;-;328
"330395 Pinheiral";-;-;-;1;-;8;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;17
"330400 Piraí";-;-;-;1;-;11;1;3;10;-;-;-;1;-;-;1;2;-;-;-;1;-;-;1;-;-;-;-;-;32
"330410 Porciúncula";-;1;-;1;-;8;-;4;20;-;-;-;1;-;-;1;-;-;-;1;1;-;6;1;-;-;-;-;-;45
"330411 Porto Real";-;-;-;1;-;6;-;3;5;-;-;-;1;-;-;6;-;-;-;-;1;-;1;1;-;-;-;-;-;25
"330412 Quatis";-;-;-;-;-;3;-;4;3;-;-;1;1;-;-;1;2;-;-;-;1;-;2;-;-;-;-;-;-;18
"330414 Queimados";-;-;-;1;-;13;1;5;3;-;-;2;-;-;-;11;1;-;-;1;1;-;3;1;-;-;-;-;-;43
"330415 Quissamã";-;-;-;1;-;8;1;-;2;-;-;-;1;-;-;1;-;1;-;-;1;-;3;1;-;-;-;-;-;20
"330420 Resende";-;-;-;3;-;21;-;42;208;-;2;2;6;-;-;5;-;1;-;-;1;-;38;1;-;-;-;1;-;331
"330430 Rio Bonito";-;-;1;1;-;15;-;13;30;-;1;1;1;-;-;5;1;1;-;-;1;-;15;-;1;1;-;-;-;88
"330440 Rio Claro";-;-;-;-;-;12;1;2;6;-;-;-;1;-;-;-;-;-;-;1;2;-;-;2;-;-;-;1;-;28
"330450 Rio das Flores";-;-;-;-;-;6;1;2;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;1;-;-;-;-;-;15
"330452 Rio das Ostras";-;-;-;1;-;10;1;20;54;-;-;-;2;-;-;4;-;-;-;-;1;-;14;2;-;-;-;-;-;109
"330455 Rio de Janeiro";-;-;4;22;1;229;3;1536;864;-;1;116;143;14;1;67;8;21;3;14;13;-;634;2;2;2;-;-;-;3700
"330460 Santa Maria Madalena";-;-;-;1;-;4;-;-;2;-;-;-;1;-;-;-;10;-;-;-;1;-;1;-;-;-;-;-;-;20
"330470 Santo Antônio de Pádua";-;-;-;1;-;24;-;6;6;-;-;-;3;-;-;1;1;-;-;-;1;-;7;-;-;-;-;-;-;50
"330480 São Fidélis";-;-;1;2;-;14;-;3;10;-;-;-;1;-;-;2;3;-;-;-;1;-;5;-;-;-;-;1;-;43
"330475 São Francisco de Itabapoana";-;-;-;1;-;19;-;3;3;-;-;-;1;-;-;1;-;-;-;2;1;-;1;-;-;-;-;1;-;33
"330490 São Gonçalo";-;-;-;3;-;24;1;99;206;-;-;9;13;1;-;38;107;2;1;4;1;-;75;1;-;-;-;7;-;592
"330500 São João da Barra";-;-;-;-;-;14;2;-;3;-;-;-;1;-;-;3;-;-;-;3;1;-;-;-;-;-;-;1;-;28
"330510 São João de Meriti";-;-;-;3;-;16;-;45;84;-;-;5;3;1;-;10;-;1;-;1;1;-;20;1;-;1;-;4;-;196
"330513 São José de Ubá";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;7
"330515 São José do Vale do Rio Preto";-;-;-;-;-;8;-;5;9;-;-;-;1;-;-;2;1;-;-;-;1;-;2;-;-;-;-;-;-;29
"330520 São Pedro da Aldeia";-;-;-;1;-;21;-;6;9;-;-;-;1;-;-;2;1;-;-;1;1;-;4;-;-;-;-;-;-;47
"330530 São Sebastião do Alto";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;-;-;-;-;-;-;-;7
"330540 Sapucaia";-;-;-;1;-;11;-;-;1;-;1;-;-;-;-;2;5;-;-;1;-;-;5;2;-;-;-;-;-;29
"330550 Saquarema";-;-;-;-;-;12;-;14;25;-;-;-;1;-;-;3;2;3;-;-;1;-;6;-;-;-;-;-;-;67
"330555 Seropédica";-;1;-;2;-;17;-;5;6;-;1;1;-;-;-;1;1;1;-;1;1;-;1;-;-;-;-;1;-;40
"330560 Silva Jardim";-;-;-;-;-;9;-;5;-;-;-;-;1;-;-;1;5;-;-;-;1;-;2;1;-;1;-;1;-;27
"330570 Sumidouro";-;-;-;1;-;6;-;4;-;-;-;-;1;-;-;-;4;-;-;-;-;-;3;1;-;-;-;1;-;21
"330575 Tanguá";-;-;-;-;-;7;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;2;-;19
"330580 Teresópolis";-;-;-;2;-;15;2;43;123;-;2;-;3;-;-;3;7;2;1;-;2;-;13;2;-;-;-;-;-;220
"330590 Trajano de Moraes";-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;1;5;-;-;1;1;-;-;-;-;-;-;-;-;14
"330600 Três Rios";-;-;-;2;-;-;1;25;114;-;-;1;2;-;-;6;22;1;-;-;2;-;17;1;-;1;-;-;-;195
"330610 Valença";-;-;-;2;-;28;1;11;36;-;3;-;5;-;-;3;1;-;-;2;1;-;8;-;-;-;-;-;-;101
"330615 Varre-Sai";-;-;-;-;-;4;-;-;5;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;-;14
"330620 Vassouras";-;-;-;1;-;14;-;8;37;-;-;1;3;-;-;1;6;-;-;-;1;-;4;1;-;-;-;1;-;78
"330630 Volta Redonda";-;1;1;5;-;44;3;129;278;1;2;3;8;-;-;6;5;2;-;-;1;-;46;1;-;1;-;-;-;537
"350010 Adamantina";-;-;-;1;-;4;-;18;67;-;1;1;1;-;-;1;-;-;-;-;1;-;12;-;-;-;-;-;-;107
"350020 Adolfo";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350030 Aguaí";-;-;-;-;-;5;-;3;22;-;4;-;1;-;-;1;-;-;-;1;1;-;4;-;-;-;-;-;-;42
"350040 Águas da Prata";-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;7
"350050 Águas de Lindóia";-;-;-;1;-;3;-;4;12;-;-;-;1;-;-;1;-;-;-;-;1;-;5;-;-;-;-;-;-;28
"350055 Águas de Santa Bárbara";-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350060 Águas de São Pedro";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;6
"350070 Agudos";-;-;-;1;-;7;-;3;17;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;31
"350075 Alambari";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;7
"350080 Alfredo Marcondes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350090 Altair";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;5
"350100 Altinópolis";-;-;-;-;-;8;-;2;19;-;1;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;35
"350110 Alto Alegre";-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"350115 Alumínio";-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;8
"350120 Álvares Florence";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;7;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;16
"350140 Álvaro de Carvalho";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350160 Americana";-;-;-;2;-;24;1;19;440;-;1;2;5;1;-;1;-;-;-;-;1;-;36;-;-;1;-;-;-;534
"350170 Américo Brasiliense";1;-;-;-;-;1;-;5;8;-;1;-;2;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;22
"350180 Américo de Campos";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350190 Amparo";6;2;-;2;-;12;-;30;132;-;-;2;2;-;-;2;3;1;-;-;1;-;23;-;-;-;-;-;-;218
"350200 Analândia";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"350210 Andradina";-;-;-;1;-;6;-;4;100;-;-;-;1;-;1;1;-;-;-;1;1;-;8;-;-;-;-;-;-;124
"350220 Angatuba";-;-;-;1;-;5;-;-;13;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;26
"350230 Anhembi";-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;7
"350240 Anhumas";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350250 Aparecida";-;-;-;-;-;2;-;3;9;-;2;-;1;-;-;-;6;-;-;-;1;-;4;-;-;-;-;-;-;28
"350260 Aparecida d'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"350270 Apiaí";-;-;-;1;-;8;-;2;20;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;38
"350275 Araçariguama";-;-;-;-;-;1;-;3;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"350280 Araçatuba";-;-;1;1;-;22;-;91;316;1;1;5;3;-;1;3;-;2;-;-;2;-;28;-;-;4;-;1;-;482
"350290 Araçoiaba da Serra";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;8
"350300 Aramina";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"350310 Arandu";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350320 Araraquara";-;-;-;2;-;30;2;77;387;-;6;1;3;1;-;10;-;-;-;4;2;-;16;3;-;1;-;2;-;547
"350330 Araras";-;-;-;1;-;25;-;27;220;-;-;1;3;-;-;1;-;1;-;-;1;-;9;2;-;-;-;-;-;291
"350335 Arco-Íris";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350350 Areias";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;3;-;1;10;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;17
"350370 Ariranha";-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"350380 Artur Nogueira";-;-;-;1;-;14;1;5;22;-;-;-;1;-;-;3;1;-;-;1;1;-;2;1;-;-;-;-;-;53
"350390 Arujá";-;-;-;1;-;5;-;9;12;-;-;-;2;-;-;-;-;1;-;-;1;-;7;-;-;-;-;1;-;39
"350395 Aspásia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350400 Assis";-;-;-;1;-;20;1;16;151;-;1;-;4;4;-;6;1;-;-;1;1;-;20;1;-;-;-;-;-;228
"350410 Atibaia";-;-;-;-;-;17;-;10;111;-;-;-;3;-;-;8;1;-;-;-;1;-;21;-;-;-;-;1;-;173
"350420 Auriflama";1;-;-;-;-;1;-;-;10;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;16
"350430 Avaí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;4;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;13
"350450 Avaré";-;-;-;-;-;16;-;8;129;-;-;-;1;-;-;-;-;1;-;-;1;-;12;1;-;-;-;1;-;170
"350460 Bady Bassitt";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"350470 Balbinos";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;6
"350500 Barão de Antonina";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;7;-;1;33;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;-;-;-;47
"350530 Barra Bonita";-;-;-;1;-;6;-;1;49;-;-;-;1;-;-;-;-;-;-;-;1;-;6;-;-;-;-;-;-;65
"350535 Barra do Chapéu";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;-;6
