CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2017
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"110080 Candeias do Jamari";-;-;-;-;-;-;-;5;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;14
"110090 Castanheiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"110005 Cerejeiras";-;-;-;-;-;1;-;4;-;3;4;-;6;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;27
"110092 Chupinguaia";-;-;-;1;-;-;-;4;-;1;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;16
"110006 Colorado do Oeste";-;-;-;-;-;1;-;4;-;-;4;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;16
"110007 Corumbiara";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;9
"110008 Costa Marques";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;7
"110094 Cujubim";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;2;-;1;-;-;12
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;1;-;5;9;-;-;-;2;-;-;-;-;-;6;-;-;-;1;-;-;-;4;2;1;-;-;-;-;-;32
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;2;1;1;-;-;-;-;-;12
"110010 Guajará-Mirim";-;-;-;-;-;1;-;5;-;-;7;-;-;-;2;-;1;-;-;-;4;-;-;-;1;-;5;-;7;2;-;-;-;2;-;1;38
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;-;-;-;-;7
"110011 Jaru";-;1;-;-;-;1;-;9;-;9;50;-;20;-;3;-;-;-;-;-;3;-;-;-;1;-;3;-;9;3;-;-;-;-;-;-;112
"110012 Ji-Paraná";2;1;-;2;1;2;-;15;-;24;193;1;61;1;6;1;-;-;4;-;-;-;-;-;2;2;7;-;25;7;-;-;-;2;-;-;359
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;7;-;2;5;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;2;-;-;-;-;24
"110120 Ministro Andreazza";-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;8
"110130 Mirante da Serra";-;-;-;-;-;-;-;2;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;10
"110140 Monte Negro";-;-;-;-;-;-;-;6;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;13
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;3;-;3;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;21
"110033 Nova Mamoré";-;-;-;-;-;1;-;3;-;2;1;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;15
"110143 Nova União";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;7
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"110015 Ouro Preto do Oeste";-;1;-;-;-;1;-;4;-;14;8;-;2;-;4;-;-;-;-;-;9;-;-;-;1;-;-;-;9;2;-;-;-;-;-;-;55
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110018 Pimenta Bueno";-;1;-;-;-;1;-;5;-;7;42;-;29;-;2;-;-;1;2;-;2;-;-;-;2;-;-;-;9;6;-;-;-;-;-;-;109
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;4
"110020 Porto Velho";-;4;1;-;2;4;-;44;1;167;317;2;14;6;14;3;1;1;3;-;16;4;-;-;2;1;6;-;83;3;-;8;1;6;-;-;714
"110025 Presidente Médici";-;-;-;-;-;1;-;6;-;2;3;-;2;-;-;-;-;1;2;-;3;-;-;-;1;-;-;-;3;1;1;-;-;-;-;1;27
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"110028 Rolim de Moura";-;-;-;-;-;1;-;12;-;9;66;-;1;-;3;-;-;-;3;-;3;-;-;-;1;-;-;-;15;2;-;-;-;-;-;1;117
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;2;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;3;-;-;-;-;-;-;11
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;6
"110149 São Francisco do Guaporé";1;-;-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;16
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;3;-;2;6;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;3;1;-;-;-;-;-;-;18
"110150 Seringueiras";1;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;7
"110160 Theobroma";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;10
"110170 Urupá";-;-;-;-;-;-;-;3;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"110175 Vale do Anari";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;3;1;1;-;-;-;-;-;11
"110180 Vale do Paraíso";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110030 Vilhena";-;1;-;-;-;1;-;7;-;52;146;1;3;-;2;1;-;1;1;-;3;-;-;-;2;2;2;-;26;3;-;-;-;-;-;-;254
"120001 Acrelândia";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;12
"120005 Assis Brasil";1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;-;-;-;-;10
"120010 Brasiléia";-;-;-;-;1;1;-;8;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;1;-;-;-;-;19
"120013 Bujari";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;6
"120017 Capixaba";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;8
"120020 Cruzeiro do Sul";1;1;1;-;1;1;-;26;-;9;11;-;2;1;2;-;-;-;2;-;7;-;-;-;2;-;3;-;7;4;1;4;1;1;-;-;88
"120025 Epitaciolândia";-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;12
"120030 Feijó";2;-;-;-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;-;16
"120032 Jordão";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;7
"120033 Mâncio Lima";2;-;-;-;-;1;-;6;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;1;-;1;-;-;-;1;19
"120034 Manoel Urbano";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"120035 Marechal Thaumaturgo";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;10
"120038 Plácido de Castro";-;-;-;-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;1;2;-;-;-;-;15
"120080 Porto Acre";3;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"120039 Porto Walter";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;1;1;-;-;10
"120040 Rio Branco";4;3;1;-;1;2;-;90;1;39;243;-;5;4;5;-;-;1;8;-;-;4;-;-;3;-;2;-;29;3;-;11;-;1;1;-;461
"120042 Rodrigues Alves";2;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;1;-;1;-;-;13
"120043 Santa Rosa do Purus";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;7
"120050 Sena Madureira";3;-;-;-;-;1;-;17;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;4;1;-;1;-;-;-;1;32
"120045 Senador Guiomard";1;-;-;-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;19
"120060 Tarauacá";-;-;-;-;-;-;-;8;-;4;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;2;1;-;1;1;-;-;-;22
"120070 Xapuri";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;-;13
"130002 Alvarães";1;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;1;-;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;14
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;3;-;-;3;-;-;-;-;-;-;10
"130008 Anamã";-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;11
"130010 Anori";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130014 Apuí";-;-;-;-;-;1;-;4;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;11
"130020 Atalaia do Norte";-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10;-;-;3;-;-;-;-;-;-;18
"130030 Autazes";-;-;-;-;-;1;-;12;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;3;-;-;-;-;-;-;23
"130040 Barcelos";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;10;-;1;2;-;-;1;-;-;-;20
"130050 Barreirinha";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;5;-;-;-;-;-;-;-;-;-;16
"130060 Benjamin Constant";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;6;-;-;2;-;2;-;-;-;-;18
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;7
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"130070 Boca do Acre";-;-;-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;12
"130080 Borba";1;1;-;-;-;1;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;1;-;-;-;17
"130083 Caapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"130090 Canutama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130100 Carauari";-;-;-;-;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;2;1;-;-;-;-;-;-;15
"130110 Careiro";-;-;-;-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;15
"130115 Careiro da Várzea";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"130120 Coari";-;-;-;-;-;1;-;13;-;2;-;-;-;-;1;-;-;1;3;-;-;-;-;-;1;-;1;-;-;2;-;1;1;-;-;-;27
"130130 Codajás";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"130140 Eirunepé";1;-;-;-;-;1;-;4;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;13
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;7
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;3;1;2;-;-;-;-;10
"130165 Guajará";1;-;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;10
"130170 Humaitá";-;-;-;-;-;1;-;12;-;2;14;-;7;-;1;-;-;1;3;-;-;-;-;-;1;-;4;-;2;1;-;-;1;-;-;-;50
"130180 Ipixuna";-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;10
"130185 Iranduba";-;-;-;-;-;1;-;18;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;25
"130190 Itacoatiara";-;1;-;-;-;1;-;15;-;4;6;-;-;-;1;-;-;1;6;-;-;-;-;-;1;-;1;-;3;1;-;2;-;-;-;-;43
"130195 Itamarati";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;1;-;1;-;-;-;7
"130200 Itapiranga";-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;7
"130210 Japurá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;9
"130220 Juruá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"130230 Jutaí";-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;9
"130240 Lábrea";-;-;-;-;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;10
"130250 Manacapuru";-;1;-;-;-;2;-;15;-;-;1;-;-;-;1;-;-;1;1;-;3;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;28
"130255 Manaquiri";-;-;-;-;-;1;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;8
"130260 Manaus";-;2;2;-;1;4;-;226;1;140;594;31;1;18;21;3;-;1;33;-;18;9;-;-;8;5;3;-;75;3;-;71;10;8;1;2;1291
"130270 Manicoré";-;-;-;-;-;1;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;11
"130280 Maraã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;1;-;-;2;-;-;-;-;1;-;12
"130290 Maués";-;1;-;-;-;1;-;8;-;2;1;-;2;-;-;-;-;-;-;-;4;-;-;-;1;-;5;-;-;1;1;-;-;-;-;-;27
"130300 Nhamundá";-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;3;-;1;1;-;-;-;-;-;-;14
"130310 Nova Olinda do Norte";1;-;-;-;-;1;-;7;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;3;2;-;-;-;-;-;-;21
"130320 Novo Airão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"130330 Novo Aripuanã";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"130340 Parintins";-;1;-;-;1;1;-;14;-;3;7;-;1;-;2;-;-;-;2;-;-;-;-;-;1;-;3;-;7;3;-;-;-;-;1;-;47
"130350 Pauini";-;-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;-;-;11
"130353 Presidente Figueiredo";-;-;-;-;-;-;-;13;-;1;2;-;1;-;1;-;-;-;-;-;9;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;31
"130356 Rio Preto da Eva";-;-;-;-;-;2;-;9;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;18
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;4;-;-;1;-;-;-;1;-;-;10
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;6;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;-;2;1;-;-;-;16
"130380 São Gabriel da Cachoeira";-;-;-;-;-;1;-;4;-;2;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;15;-;1;1;2;-;-;-;1;1;37
"130390 São Paulo de Olivença";-;-;-;-;-;1;-;6;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;4;-;1;2;-;2;1;-;-;-;20
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"130400 Silves";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"130406 Tabatinga";-;1;1;-;-;-;-;7;-;4;-;-;-;1;1;-;-;-;1;-;-;1;-;-;1;-;4;-;1;-;-;2;1;-;-;-;26
"130410 Tapauá";-;-;-;1;-;1;-;4;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;13
"130420 Tefé";-;2;-;-;-;1;1;9;-;5;8;-;2;1;1;-;1;-;1;-;3;-;-;-;1;-;3;-;3;1;-;-;-;1;1;-;45
"130423 Tonantins";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;2;1;-;-;-;12
"130426 Uarini";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;5
"130430 Urucará";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;9
"130440 Urucurituba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"140005 Alto Alegre";1;-;-;-;-;1;-;3;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;24;-;-;1;1;2;-;-;-;-;40
"140002 Amajari";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;19;-;-;2;-;1;-;-;-;-;33
"140010 Boa Vista";1;1;1;-;1;3;-;37;1;89;132;-;1;2;4;-;1;3;1;-;4;1;-;-;4;-;4;-;21;7;-;8;-;-;1;-;328
"140015 Bonfim";1;-;-;-;-;1;-;6;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;11;-;-;3;-;1;-;-;-;-;30
"140017 Cantá";-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;1;-;-;-;-;2;-;1;-;1;-;-;24
