CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"241060 Rafael Godeiro";-;-;1;-;1;2;-;-;-;-;-;2;-;-;-;-;-;1;-;7
"241070 Riacho da Cruz";-;-;-;1;1;2;-;-;-;-;-;2;-;-;-;-;-;-;-;6
"241080 Riacho de Santana";-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"241090 Riachuelo";-;-;1;-;-;3;-;-;-;-;1;4;1;-;-;-;-;-;-;10
"240895 Rio do Fogo";-;-;2;1;-;4;1;-;-;1;-;1;-;-;-;-;-;-;-;10
"241100 Rodolfo Fernandes";-;-;3;-;-;2;1;-;-;-;1;2;-;-;-;-;-;-;-;9
"241110 Ruy Barbosa";-;-;-;-;4;2;-;-;-;-;-;3;-;-;-;-;-;-;-;9
"241120 Santa Cruz";3;6;14;2;8;29;9;2;2;4;7;11;1;8;-;-;-;4;2;112
"240933 Santa Maria";-;-;-;-;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;5
"241140 Santana do Matos";1;1;2;-;4;6;1;-;-;1;-;7;-;1;-;1;-;-;-;25
"241142 Santana do Seridó";-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;3
"241150 Santo Antônio";2;5;9;9;5;24;1;2;1;5;2;10;-;3;2;-;-;-;2;82
"241160 São Bento do Norte";-;-;-;-;-;2;-;-;-;2;-;2;-;-;-;-;-;-;1;7
"241170 São Bento do Trairí";-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"241180 São Fernando";-;-;1;-;2;1;-;-;-;-;-;2;-;-;-;-;-;-;-;6
"241190 São Francisco do Oeste";-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"241200 São Gonçalo do Amarante";-;5;8;-;6;29;11;-;-;14;4;30;2;5;-;-;-;1;2;117
"241210 São João do Sabugi";-;1;-;-;-;2;1;1;-;-;1;3;-;-;-;-;-;1;1;11
"241220 São José de Mipibu";2;6;7;6;14;28;1;3;4;8;3;13;8;5;-;-;-;1;28;137
"241230 São José do Campestre";-;3;1;-;2;7;1;1;-;1;3;7;-;1;-;-;-;-;-;27
"241240 São José do Seridó";-;-;-;-;1;2;1;-;-;1;1;2;-;-;-;-;-;-;-;8
"241250 São Miguel";1;3;2;-;4;9;2;2;-;2;-;9;-;1;-;-;-;-;-;35
"241255 São Miguel do Gostoso";-;-;-;-;2;5;-;-;-;4;-;5;-;-;-;-;-;-;-;16
"241260 São Paulo do Potengi";-;3;5;1;11;11;1;1;-;3;5;8;1;4;-;-;-;2;4;60
"241270 São Pedro";-;1;-;-;-;4;-;-;1;-;-;2;-;-;-;-;-;-;-;8
"241280 São Rafael";1;-;-;-;1;3;-;-;-;2;1;-;-;-;-;-;-;-;-;8
"241290 São Tomé";1;1;1;-;1;3;1;-;-;-;1;5;-;-;-;-;-;-;1;15
"241300 São Vicente";-;-;-;-;2;3;1;-;-;-;-;3;-;-;-;-;-;-;-;9
"241310 Senador Elói de Souza";-;-;-;-;1;3;-;-;-;1;1;1;-;1;-;-;-;-;-;8
"241320 Senador Georgino Avelino";-;1;1;-;-;1;-;-;-;1;1;3;-;-;-;-;-;-;-;8
"241030 Serra Caiada";-;-;1;-;-;5;1;-;-;2;-;1;-;-;-;-;-;-;-;10
"241330 Serra de São Bento";-;-;1;-;1;2;-;-;-;-;1;1;-;-;-;-;-;-;-;6
"241335 Serra do Mel";-;1;-;-;-;4;1;-;-;-;-;4;-;1;-;-;-;-;-;11
"241340 Serra Negra do Norte";-;-;1;-;1;3;1;-;-;1;-;1;-;-;-;-;-;-;-;8
"241350 Serrinha";-;-;1;-;1;2;-;-;-;-;-;3;-;-;1;-;-;-;-;8
"241355 Serrinha dos Pintos";-;1;1;1;-;2;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"241360 Severiano Melo";-;-;-;1;-;3;-;-;-;1;-;2;-;-;-;-;-;-;-;7
"241370 Sítio Novo";-;-;-;-;-;2;-;-;-;-;1;2;-;-;-;-;-;-;-;5
"241380 Taboleiro Grande";-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"241390 Taipu";-;-;-;-;3;3;-;-;-;1;1;4;-;-;-;-;-;-;1;13
"241400 Tangará";-;-;1;1;1;3;1;-;-;3;1;4;-;1;-;-;-;-;1;17
"241410 Tenente Ananias";1;1;2;1;-;4;2;-;-;3;-;3;-;-;-;-;-;1;-;18
"241415 Tenente Laurentino Cruz";-;-;1;-;-;3;-;-;-;-;1;1;-;1;-;-;-;-;-;7
"241105 Tibau";-;-;1;-;3;3;2;-;-;-;-;1;-;-;-;-;-;-;-;10
"241420 Tibau do Sul";-;-;-;-;1;4;-;-;-;3;1;5;-;-;-;-;-;-;-;14
"241430 Timbaúba dos Batistas";-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"241440 Touros";-;1;1;-;4;17;2;1;-;5;1;13;-;1;-;-;-;-;1;47
"241445 Triunfo Potiguar";-;1;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;1;6
"241450 Umarizal";-;1;1;-;1;5;2;-;-;1;1;4;-;1;-;-;-;-;-;17
"241460 Upanema";-;2;-;-;2;5;1;-;-;2;-;4;-;-;-;-;-;-;-;16
"241470 Várzea";-;-;1;-;-;3;-;-;-;1;1;3;-;-;-;1;-;-;-;10
"241475 Venha-Ver";-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;1;-;5
"241480 Vera Cruz";-;-;-;-;-;4;1;-;-;1;1;3;-;-;-;-;-;-;-;10
"241490 Viçosa";-;1;1;1;-;1;-;-;-;-;-;2;-;2;-;-;-;-;-;8
"241500 Vila Flor";-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"250010 Água Branca";-;-;-;-;3;4;2;-;-;2;1;5;-;-;-;-;-;1;2;20
"250020 Aguiar";-;-;-;-;5;3;-;-;-;-;-;2;-;-;-;-;-;-;-;10
"250030 Alagoa Grande";1;2;4;3;5;17;8;2;-;6;2;13;-;2;1;1;-;1;-;68
"250040 Alagoa Nova";-;1;1;-;6;9;2;-;-;4;1;5;-;2;1;-;-;1;-;33
"250050 Alagoinha";-;-;1;-;-;6;1;-;-;2;1;4;-;1;-;-;-;1;1;18
"250053 Alcantil";-;1;1;1;-;2;1;-;-;2;-;3;-;-;-;1;-;-;-;12
"250057 Algodão de Jandaíra";-;-;2;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;6
"250060 Alhandra";-;2;2;-;4;17;1;-;-;6;2;7;-;3;-;-;-;-;1;45
"250073 Amparo";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"250077 Aparecida";-;-;-;-;1;2;1;-;-;1;-;3;-;-;-;-;-;1;-;9
"250080 Araçagi";-;-;1;-;1;6;3;2;-;2;1;6;-;1;-;-;-;1;-;24
"250090 Arara";-;-;-;-;2;7;3;-;-;1;1;5;-;-;-;-;-;-;-;19
"250100 Araruna";1;2;4;8;4;9;2;1;-;5;1;13;-;2;1;2;-;4;1;60
"250110 Areia";-;-;4;1;6;8;2;-;-;1;-;7;1;1;1;2;-;2;1;37
"250115 Areia de Baraúnas";-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;4
"250120 Areial";-;-;1;-;-;3;-;-;-;-;1;3;-;-;-;-;-;-;1;9
"250130 Aroeiras";-;1;3;-;1;8;2;1;-;7;1;4;1;2;-;-;-;4;1;36
"250135 Assunção";-;-;-;-;-;2;2;-;-;1;1;-;-;-;-;1;-;1;-;8
"250140 Baía da Traição";-;-;-;-;1;4;-;-;-;1;-;2;-;-;-;-;-;-;-;8
"250150 Bananeiras";1;1;1;6;8;11;3;1;-;3;2;8;-;1;-;-;-;1;1;48
"250153 Baraúna";-;-;1;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;5
"250160 Barra de Santa Rosa";-;2;1;-;1;5;1;1;1;3;1;4;-;1;-;-;-;1;-;22
"250157 Barra de Santana";-;-;2;-;6;7;2;1;-;2;2;2;1;2;-;-;-;-;1;28
"250170 Barra de São Miguel";-;-;1;-;-;2;1;-;-;2;-;2;-;-;-;-;-;1;-;9
"250180 Bayeux";11;12;21;5;8;48;15;7;5;19;9;36;12;13;3;7;-;20;5;256
"250190 Belém";1;-;1;3;6;31;2;1;-;6;1;13;-;1;-;-;-;1;1;68
"250200 Belém do Brejo do Cruz";-;-;1;-;5;4;-;-;-;2;-;2;-;-;-;-;-;-;-;14
"250205 Bernardino Batista";-;-;-;-;2;2;-;-;-;-;1;2;-;-;-;-;-;-;-;7
"250210 Boa Ventura";-;-;-;-;2;5;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"250215 Boa Vista";-;1;-;-;4;5;-;-;-;2;-;5;-;1;-;-;-;-;1;19
"250220 Bom Jesus";-;-;-;-;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;4
"250230 Bom Sucesso";-;-;-;-;5;4;-;-;-;-;-;2;-;-;-;-;-;-;-;11
"250240 Bonito de Santa Fé";-;-;2;-;4;8;-;-;-;-;-;2;-;-;-;-;-;-;-;16
"250250 Boqueirão";-;2;4;-;6;11;5;2;-;2;1;9;-;3;-;-;-;2;3;50
"250270 Borborema";-;-;2;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;5
"250280 Brejo do Cruz";1;-;1;-;4;6;1;1;-;2;-;5;-;1;-;-;-;-;-;22
"250290 Brejo dos Santos";1;-;-;1;1;3;-;-;-;1;-;3;1;-;-;-;-;1;-;12
"250300 Caaporã";1;1;4;2;4;10;3;1;1;6;1;11;2;4;2;-;-;1;1;55
"250310 Cabaceiras";-;-;1;-;-;2;-;-;-;-;-;4;-;-;-;-;-;-;-;7
"250320 Cabedelo";11;14;21;27;39;69;26;10;7;19;20;38;23;33;3;2;-;21;3;386
"250330 Cachoeira dos Índios";-;-;1;-;2;2;1;-;-;1;-;2;-;-;-;1;-;-;-;10
"250340 Cacimba de Areia";-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;4
"250350 Cacimba de Dentro";-;-;-;-;1;6;-;-;-;5;1;6;-;-;-;-;-;-;-;19
"250355 Cacimbas";-;-;1;-;-;2;1;-;-;2;-;3;-;-;-;-;-;-;-;9
"250360 Caiçara";-;-;-;-;3;4;-;-;-;-;-;2;-;2;-;-;-;-;-;11
"250370 Cajazeiras";5;11;21;16;26;93;23;6;5;5;6;29;5;12;3;5;-;19;8;298
"250375 Cajazeirinhas";-;-;1;-;-;2;1;-;-;-;-;-;-;1;-;2;-;1;-;8
"250380 Caldas Brandão";-;-;1;-;-;3;1;-;-;1;-;4;-;-;-;-;-;-;-;10
"250390 Camalaú";-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;5
"250400 Campina Grande";60;108;186;77;172;284;169;27;32;66;28;240;34;107;17;26;-;274;33;1940
"250403 Capim";-;-;-;-;1;2;-;-;-;-;-;2;1;-;-;-;-;-;-;6
"250407 Caraúbas";-;-;1;-;1;2;1;-;-;2;1;1;-;-;-;-;-;-;-;9
"250410 Carrapateira";-;-;-;-;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;4
"250415 Casserengue";-;-;1;-;-;4;-;-;-;2;-;3;-;1;-;-;-;-;-;11
"250420 Catingueira";-;-;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;-;5
"250430 Catolé do Rocha";2;3;11;1;8;31;5;1;-;2;1;18;1;4;-;3;-;5;1;97
"250435 Caturité";-;-;-;-;1;1;-;-;-;1;1;2;-;-;-;-;-;-;-;6
"250440 Conceição";-;3;3;-;5;12;2;2;1;3;1;9;1;2;-;2;-;3;3;52
"250450 Condado";-;-;2;-;-;5;2;1;-;-;1;2;-;1;-;-;-;-;1;15
"250460 Conde";1;2;3;-;2;12;3;-;-;8;3;12;1;3;1;-;-;1;1;53
"250470 Congo";-;-;-;-;2;3;1;-;-;-;-;2;-;1;-;-;-;-;-;9
"250480 Coremas";1;2;3;2;3;11;2;1;-;-;1;11;-;2;1;1;-;1;2;44
"250490 Cruz do Espírito Santo";-;-;2;-;1;8;1;-;-;4;1;6;-;-;-;-;-;-;-;23
"250500 Cubati";-;-;1;-;3;3;-;-;-;3;-;3;-;-;-;-;-;-;-;13
"250510 Cuité";1;1;5;1;7;14;4;1;-;5;2;12;-;3;-;1;-;2;1;60
"250523 Cuité de Mamanguape";-;-;-;-;2;5;-;-;-;3;-;5;-;-;-;-;-;-;2;17
"250520 Cuitegi";-;1;2;-;1;5;1;-;-;-;1;5;1;-;-;-;-;-;1;18
"250527 Curral de Cima";-;-;-;-;-;2;1;-;-;1;-;2;-;-;-;-;-;-;-;6
"250530 Curral Velho";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"250535 Damião";-;-;1;-;-;2;-;-;-;-;-;2;-;1;-;-;-;-;-;6
"250540 Desterro";-;-;2;-;2;2;1;-;-;1;-;2;-;-;-;1;-;-;-;11
"250560 Diamante";-;-;-;-;-;2;-;-;-;2;-;1;-;-;-;-;-;-;-;5
"250570 Dona Inês";-;-;1;3;2;6;-;-;-;-;1;3;-;-;-;1;-;1;1;19
"250580 Duas Estradas";-;-;-;-;1;1;2;-;-;-;-;2;-;-;-;-;-;-;-;6
"250590 Emas";-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"250600 Esperança";-;2;4;4;7;21;7;1;-;6;-;14;1;4;-;-;-;-;1;72
"250610 Fagundes";-;-;3;-;3;6;1;-;-;4;-;4;-;-;-;-;-;-;-;21
"250620 Frei Martinho";-;-;-;-;2;2;1;-;-;-;-;1;-;-;-;-;-;-;-;6
"250625 Gado Bravo";-;-;1;-;1;5;1;-;-;1;-;2;-;-;-;-;-;-;-;11
"250630 Guarabira";8;10;17;15;16;72;19;6;6;11;7;41;3;17;1;3;-;13;4;269
"250640 Gurinhém";-;-;2;1;3;6;2;1;-;3;1;7;1;1;-;1;-;2;-;31
"250650 Gurjão";-;-;2;-;4;3;2;-;-;-;-;2;-;-;-;-;-;-;-;13
"250660 Ibiara";-;-;-;-;1;5;-;-;-;4;-;1;-;-;-;-;-;-;-;11
"250260 Igaracy";-;-;1;-;2;3;1;-;-;1;-;3;-;-;-;-;-;-;-;11
"250670 Imaculada";-;-;-;-;2;7;1;-;-;1;-;4;-;-;-;-;-;-;1;16
"250680 Ingá";-;2;3;1;7;9;2;-;-;2;-;6;-;1;-;-;-;2;-;35
"250690 Itabaiana";4;6;5;2;6;31;4;2;1;4;6;10;3;9;-;1;-;4;1;99
"250700 Itaporanga";1;4;8;8;1;18;6;2;-;2;2;14;-;2;1;-;-;-;5;74
"250710 Itapororoca";-;1;3;2;2;11;4;1;2;3;2;3;-;2;-;-;-;-;-;36
"250720 Itatuba";-;-;-;-;2;3;2;-;-;2;-;5;-;-;-;-;-;-;-;14
"250730 Jacaraú";-;-;1;1;1;6;1;-;-;3;1;6;-;2;-;-;-;-;-;22
"250740 Jericó";-;-;2;-;-;4;-;-;-;-;-;4;-;-;-;-;-;-;-;10
"250750 João Pessoa";124;248;332;173;309;890;332;110;143;139;141;681;170;375;31;62;6;688;121;5075
"251365 Joca Claudino";-;-;-;-;2;2;1;-;-;-;1;2;-;-;-;-;-;-;-;8
"250760 Juarez Távora";-;-;1;-;1;3;-;1;-;-;-;2;-;-;-;-;-;-;1;9
"250770 Juazeirinho";-;1;2;1;3;7;2;-;-;1;-;5;1;2;1;-;-;-;-;26
"250780 Junco do Seridó";-;-;-;1;-;4;-;-;-;2;-;3;-;-;-;-;-;-;-;10
"250790 Juripiranga";-;-;2;-;4;4;1;-;-;1;1;4;-;1;-;-;-;1;-;19
"250800 Juru";-;-;2;-;3;5;-;-;1;1;-;2;-;-;-;1;-;-;-;15
"250810 Lagoa";-;-;1;-;-;4;-;-;-;1;-;3;-;-;-;-;-;-;-;9
"250820 Lagoa de Dentro";-;-;1;2;9;2;-;-;-;2;-;2;-;1;1;-;-;-;-;20
"250830 Lagoa Seca";-;1;3;-;6;8;2;-;-;3;1;14;-;4;-;-;-;-;3;45
"250840 Lastro";-;1;1;-;1;1;1;-;-;-;1;1;-;2;-;-;-;-;-;9
"250850 Livramento";-;-;-;-;1;4;1;-;-;1;1;1;-;-;-;-;-;-;1;10
"250855 Logradouro";-;1;1;-;-;2;-;-;-;2;1;2;-;-;-;-;-;-;-;9
"250860 Lucena";-;-;1;-;-;4;-;-;-;1;-;6;-;-;-;-;-;1;-;13
"250870 Mãe d'Água";1;-;-;-;3;4;-;1;-;-;-;3;-;-;-;-;-;-;1;13
"250880 Malta";-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"250890 Mamanguape";-;4;8;1;9;16;6;3;-;9;3;14;1;5;-;-;-;1;-;80
"250900 Manaíra";-;-;1;-;1;8;1;-;-;1;-;3;-;-;-;-;-;-;-;15
"250905 Marcação";-;-;-;-;-;4;-;-;-;2;-;3;-;-;-;-;-;-;-;9
"250910 Mari";-;2;1;-;3;11;3;-;-;3;1;9;-;4;-;-;-;-;2;39
"250915 Marizópolis";-;-;1;-;-;4;1;-;-;2;-;3;-;-;-;-;-;1;-;12
"250920 Massaranduba";-;1;1;-;7;8;3;1;-;3;-;9;-;-;-;-;-;-;1;34
"250930 Mataraca";-;-;1;-;2;9;1;-;-;1;-;1;-;-;-;-;-;-;-;15
"250933 Matinhas";-;-;1;-;1;2;2;-;-;-;-;2;-;-;-;-;-;-;-;8
"250937 Mato Grosso";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"250939 Maturéia";-;-;-;-;1;1;1;-;-;1;1;3;-;-;-;-;-;-;-;8
"250940 Mogeiro";-;-;3;-;1;6;1;-;-;4;-;4;-;1;-;1;-;1;-;22
"250950 Montadas";-;-;1;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"250960 Monte Horebe";-;-;1;-;-;2;-;-;-;2;-;1;-;-;-;-;-;-;-;6
"250970 Monteiro";1;3;5;5;7;20;8;2;-;5;4;17;-;4;-;2;-;5;2;90
"250980 Mulungu";-;4;1;-;3;6;2;1;-;3;-;7;-;4;1;-;-;-;1;33
"250990 Natuba";-;-;1;-;5;5;1;-;-;-;1;5;-;-;1;-;-;-;-;19
"251000 Nazarezinho";-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"251010 Nova Floresta";-;-;1;-;1;5;1;-;-;2;-;4;-;-;-;-;-;1;-;15
"251020 Nova Olinda";-;-;-;-;3;6;-;-;-;-;-;1;-;-;-;-;-;-;1;11
"251030 Nova Palmeira";-;1;-;-;-;3;1;-;-;-;-;2;-;-;-;-;-;-;-;7
"251040 Olho d'Água";-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;4
"251050 Olivedos";-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;4
"251060 Ouro Velho";-;-;1;-;3;3;1;-;-;-;-;-;-;-;-;-;-;-;1;9
"251065 Parari";-;-;1;-;1;1;1;-;-;-;-;3;-;-;-;-;-;-;-;7
"251070 Passagem";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"251080 Patos";4;24;38;27;45;167;31;5;1;8;15;58;4;23;-;5;-;13;9;477
"251090 Paulista";-;-;1;2;1;6;1;-;-;1;-;4;-;-;-;-;-;-;1;17
"251100 Pedra Branca";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"251110 Pedra Lavrada";-;-;2;-;-;3;-;-;-;2;-;4;-;1;-;-;-;-;-;12
"251120 Pedras de Fogo";-;2;5;-;11;11;3;-;1;5;2;15;-;4;-;-;-;1;3;63
"251272 Pedro Régis";-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;-;5
"251130 Piancó";1;5;4;4;8;20;4;-;-;-;1;7;-;5;-;-;-;-;4;63
"251140 Picuí";-;1;3;2;4;17;3;-;-;2;2;6;-;2;-;-;-;1;2;45
"251150 Pilar";-;-;1;-;4;7;2;1;-;2;2;7;-;2;-;-;-;-;1;29
"251160 Pilões";-;-;1;-;1;3;-;-;-;2;-;4;-;-;-;-;-;-;-;11
"251170 Pilõezinhos";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"251180 Pirpirituba";-;-;-;-;-;3;-;-;-;4;-;3;-;-;-;-;-;-;-;10
"251190 Pitimbu";-;-;-;-;1;8;-;-;-;7;-;7;-;-;-;-;-;-;-;23
"251200 Pocinhos";-;3;3;-;5;7;5;1;-;3;1;5;1;1;-;-;-;-;2;37
"251203 Poço Dantas";-;-;1;-;-;2;-;-;-;-;-;3;-;-;-;-;-;-;-;6
"251207 Poço de José de Moura";-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"251210 Pombal";-;3;6;6;6;14;4;1;-;3;2;17;-;4;-;-;-;2;6;74
"251220 Prata";-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"251230 Princesa Isabel";1;3;3;7;6;20;3;2;2;1;2;13;2;5;1;1;-;4;-;76
"251240 Puxinanã";-;1;2;-;-;6;1;-;-;3;-;2;-;-;-;-;-;-;-;15
"251250 Queimadas";-;2;1;-;-;17;2;-;-;6;1;14;4;5;-;-;-;-;1;53
"251260 Quixabá";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"251270 Remígio";-;1;1;2;4;10;1;-;-;2;-;9;-;1;-;-;-;1;-;32
"251274 Riachão";-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"251275 Riachão do Bacamarte";-;-;-;-;1;3;1;-;-;1;-;1;-;1;-;-;-;-;-;8
"251276 Riachão do Poço";-;-;1;-;-;1;1;-;-;2;-;1;-;-;-;-;-;-;-;6
"251278 Riacho de Santo Antônio";-;1;1;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"251280 Riacho dos Cavalos";-;-;-;1;2;5;-;-;-;2;-;3;-;-;-;-;-;-;-;13
"251290 Rio Tinto";-;3;3;2;3;10;3;1;-;7;2;9;-;1;-;-;-;-;-;44
"251300 Salgadinho";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"251310 Salgado de São Félix";-;-;2;-;-;5;1;-;-;2;-;1;1;1;-;-;-;-;-;13
"251315 Santa Cecília";-;1;1;-;-;3;1;-;-;3;-;3;-;-;-;-;-;-;-;12
"251320 Santa Cruz";1;-;3;1;1;3;2;-;-;-;-;4;-;-;-;-;-;2;-;17
"251330 Santa Helena";-;-;2;-;1;4;3;-;-;1;-;1;-;-;-;-;-;-;1;13
"251335 Santa Inês";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251340 Santa Luzia";-;1;4;5;9;11;3;-;-;-;3;11;-;2;-;-;-;-;1;50
"251370 Santa Rita";1;7;13;9;14;66;21;6;-;23;9;54;3;10;1;3;-;8;-;248
"251380 Santa Teresinha";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"251350 Santana de Mangueira";-;-;-;-;1;2;1;-;-;1;-;2;-;-;-;-;-;-;-;7
"251360 Santana dos Garrotes";-;-;-;-;1;2;-;-;-;-;-;2;-;-;-;-;-;-;1;6
"251385 Santo André";-;1;-;-;1;4;1;-;-;1;-;1;-;-;-;-;-;-;-;9
"251392 São Bentinho";-;-;1;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"251390 São Bento";-;3;7;1;4;18;3;1;-;3;1;13;1;3;-;1;-;2;4;65
"251396 São Domingos";-;-;2;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"251394 São Domingos do Cariri";-;-;-;-;1;1;-;-;-;1;-;1;-;1;-;-;-;-;1;6
"251398 São Francisco";-;-;1;-;1;1;1;-;-;-;1;2;-;-;-;-;-;-;-;7
"251400 São João do Cariri";-;-;1;-;1;2;-;-;-;1;-;2;-;1;-;-;-;1;-;9
"250070 São João do Rio do Peixe";2;1;4;2;2;8;3;1;-;2;1;7;1;2;-;-;-;-;2;38
"251410 São João do Tigre";-;-;-;-;-;1;-;-;-;2;-;2;-;-;-;-;-;-;-;5
"251420 São José da Lagoa Tapada";-;-;-;-;-;4;-;1;-;-;1;3;-;-;-;-;-;-;-;9
"251430 São José de Caiana";-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;1;-;6
"251440 São José de Espinharas";-;-;-;-;-;3;-;-;-;1;-;2;-;1;-;-;-;-;-;7
"251450 São José de Piranhas";-;1;-;-;2;9;2;1;-;2;1;6;-;-;-;-;-;-;-;24
"251455 São José de Princesa";-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"251460 São José do Bonfim";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"251465 São José do Brejo do Cruz";-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;4
"251470 São José do Sabugi";-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"251480 São José dos Cordeiros";-;-;-;-;-;1;-;-;-;2;-;2;-;-;-;-;-;-;-;5
"251445 São José dos Ramos";-;-;1;-;1;3;-;-;-;-;-;3;-;1;-;-;-;-;1;10
"251490 São Mamede";-;-;1;-;1;9;-;-;-;-;-;3;-;-;-;-;-;-;1;15
"251500 São Miguel de Taipu";-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"251510 São Sebastião de Lagoa de Roça";-;-;1;-;1;6;2;-;-;3;-;4;-;-;-;-;-;-;-;17
"251520 São Sebastião do Umbuzeiro";-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;5
"251540 São Vicente do Seridó";-;-;1;-;2;4;-;-;-;1;-;3;-;-;-;-;-;-;-;11
"251530 Sapé";-;1;3;-;3;26;6;2;-;12;2;19;-;7;-;-;-;-;3;84
"251550 Serra Branca";-;1;4;1;3;7;4;1;-;1;1;6;-;4;-;-;-;-;1;34
"251560 Serra da Raiz";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"251570 Serra Grande";-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;1;5
"251580 Serra Redonda";-;-;2;-;1;4;-;-;-;2;-;3;-;-;-;-;-;-;-;12
"251590 Serraria";-;-;1;1;6;6;-;-;-;3;-;2;-;-;-;-;-;-;-;19
"251593 Sertãozinho";-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4
"251597 Sobrado";-;-;-;-;1;3;-;-;-;1;1;4;-;-;-;-;-;-;-;10
"251600 Solânea";-;2;5;1;4;10;4;1;-;5;1;10;-;3;-;1;-;1;1;49
"251610 Soledade";-;3;-;-;4;6;1;-;-;5;1;6;-;1;-;-;-;1;1;29
"251615 Sossêgo";-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;4
"251620 Sousa";5;16;25;29;20;86;26;4;3;7;6;32;1;17;1;3;-;10;6;297
"251630 Sumé";1;2;2;2;-;11;2;1;-;1;2;10;-;2;-;-;-;-;2;38
"251640 Tacima";-;-;-;-;-;4;-;-;-;2;-;4;-;-;-;-;-;-;-;10
