CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2014
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"260780 Itaquitinga";2;1;-;5;10;3;1;-;2;1;6;1;3;1;-;-;-;4;40
"260790 Jaboatão dos Guararapes";64;35;16;161;322;83;39;53;68;43;226;157;75;11;24;-;225;37;1639
"260795 Jaqueira";2;2;-;3;12;-;-;-;3;-;3;-;-;-;-;-;-;-;25
"260800 Jataúba";1;1;1;4;11;2;-;-;1;-;5;1;3;-;-;-;1;2;33
"260805 Jatobá";-;1;-;11;12;8;2;1;2;1;10;1;2;-;1;-;6;10;68
"260810 João Alfredo";2;1;-;11;12;4;2;1;1;1;10;-;2;-;-;-;1;3;51
"260820 Joaquim Nabuco";1;-;-;2;10;2;1;-;2;1;5;-;-;-;-;-;-;1;25
"260825 Jucati";1;-;-;-;5;2;1;-;4;1;3;-;2;-;-;-;-;2;21
"260830 Jupi";1;1;-;2;5;1;-;-;2;-;5;-;1;-;-;-;-;2;20
"260840 Jurema";-;-;-;2;7;2;1;-;4;1;3;-;1;-;-;-;-;1;22
"260850 Lagoa de Itaenga";2;1;-;-;10;1;1;-;4;-;10;1;3;1;-;-;-;-;34
"260845 Lagoa do Carro";2;-;-;2;7;2;-;-;3;2;9;-;1;-;1;-;-;1;30
"260860 Lagoa do Ouro";-;-;1;3;8;-;-;1;4;1;2;-;1;-;-;-;-;-;21
"260870 Lagoa dos Gatos";-;-;-;-;14;1;-;-;1;1;3;-;1;-;-;-;-;1;22
"260875 Lagoa Grande";1;1;-;6;21;2;1;2;5;2;5;1;1;1;-;-;-;2;51
"260880 Lajedo";1;1;-;1;15;2;-;-;2;1;10;1;4;-;-;-;-;4;42
"260890 Limoeiro";7;6;7;24;67;18;3;7;8;10;36;17;14;1;4;-;28;12;269
"260900 Macaparana";-;1;-;6;12;2;3;1;5;2;11;1;3;-;-;-;1;-;48
"260910 Machados";1;1;-;4;7;4;2;-;4;-;7;-;2;-;-;-;1;1;34
"260915 Manari";-;1;-;1;10;-;-;-;3;1;4;-;1;-;-;-;-;1;22
"260920 Maraial";1;-;-;1;6;1;-;-;2;-;2;-;1;-;-;-;-;1;15
"260930 Mirandiba";-;-;-;4;13;1;1;-;2;1;5;-;1;-;-;-;-;2;30
"261430 Moreilândia";-;1;-;6;11;4;1;-;3;-;6;-;1;-;-;-;-;2;35
"260940 Moreno";4;4;-;15;22;4;2;1;14;1;14;2;3;1;1;1;4;8;101
"260950 Nazaré da Mata";6;-;-;18;34;3;2;7;5;2;6;16;5;-;1;-;6;3;114
"260960 Olinda";35;22;4;165;203;70;37;31;31;13;112;78;51;7;15;-;140;43;1057
"260970 Orobó";-;2;-;2;9;4;3;-;6;3;9;-;2;-;-;-;-;-;40
"260980 Orocó";-;-;-;3;6;-;1;-;1;1;2;-;1;-;-;-;-;1;16
"260990 Ouricuri";12;4;4;19;58;6;1;4;16;4;23;11;6;-;2;-;12;10;192
"261000 Palmares";17;7;8;20;58;22;3;18;13;13;24;19;13;-;4;-;37;17;293
"261010 Palmeirina";1;-;-;1;8;1;-;-;1;-;3;1;1;-;-;-;-;1;18
"261020 Panelas";1;1;1;1;10;3;1;-;7;2;8;-;1;-;-;-;-;2;38
"261030 Paranatama";-;-;-;-;6;2;-;-;3;2;5;-;2;-;-;-;-;-;20
"261040 Parnamirim";2;1;-;3;15;3;1;-;6;2;6;-;3;-;-;-;1;2;45
"261050 Passira";1;-;-;1;14;5;2;1;7;2;9;-;3;-;-;-;-;1;46
"261060 Paudalho";6;1;-;5;20;7;2;-;11;1;9;-;8;-;-;-;1;8;79
"261070 Paulista";35;19;10;124;239;62;18;11;32;29;75;31;43;4;18;1;75;38;864
"261080 Pedra";2;1;1;4;13;2;1;-;5;-;8;-;2;-;-;-;-;2;41
"261090 Pesqueira";13;2;2;12;50;12;2;-;9;5;32;5;11;-;-;-;1;4;160
"261100 Petrolândia";1;4;-;13;19;6;4;4;3;3;13;3;2;-;3;-;7;5;90
"261110 Petrolina";39;27;19;115;326;65;19;47;49;28;121;54;58;3;8;-;216;20;1214
"261120 Poção";1;-;-;1;5;1;-;-;4;1;4;-;1;-;-;-;-;-;18
"261130 Pombos";1;1;-;1;14;3;1;-;5;1;13;1;2;-;-;1;3;4;51
"261140 Primavera";1;-;-;1;5;1;1;-;4;1;1;1;-;-;-;-;-;-;16
"261150 Quipapá";-;1;-;2;8;1;1;1;5;1;4;-;2;-;-;-;-;3;29
"261153 Quixaba";-;-;-;3;5;-;-;1;2;-;3;-;-;-;-;-;-;1;15
"261160 Recife";423;340;225;1122;3244;821;277;354;172;397;1065;700;713;86;169;10;2529;577;13224
"261170 Riacho das Almas";-;1;-;1;8;2;-;1;1;-;9;-;-;-;-;-;-;3;26
"261180 Ribeirão";1;1;-;1;14;4;-;1;5;1;16;1;1;-;-;-;1;1;48
"261190 Rio Formoso";-;-;1;3;8;1;-;-;4;-;9;-;1;-;-;-;-;4;31
"261200 Sairé";1;1;-;1;6;-;-;-;4;1;4;-;1;-;-;-;1;-;20
"261210 Salgadinho";1;-;-;1;3;2;-;-;1;1;1;-;1;-;-;-;-;1;12
"261220 Salgueiro";9;4;8;25;59;11;5;13;12;5;28;8;7;-;2;-;20;9;225
"261230 Saloá";1;1;-;-;10;-;-;-;4;2;5;-;3;-;-;-;-;2;28
"261240 Sanharó";1;-;-;2;14;1;1;-;5;1;6;-;1;-;-;-;1;1;34
"261245 Santa Cruz";1;1;-;6;9;1;-;-;1;1;7;-;1;-;-;-;-;1;29
"261247 Santa Cruz da Baixa Verde";1;-;-;4;9;2;-;-;-;1;4;-;2;-;-;-;-;1;24
"261250 Santa Cruz do Capibaribe";2;1;1;12;39;17;2;1;12;4;18;4;7;-;3;-;7;10;140
"261255 Santa Filomena";-;-;-;2;5;-;-;-;3;-;4;-;-;-;-;-;-;-;14
"261260 Santa Maria da Boa Vista";3;-;1;6;18;2;-;-;8;-;9;-;2;-;-;-;-;-;49
"261270 Santa Maria do Cambucá";1;-;-;2;6;2;1;-;3;2;5;-;1;-;-;-;-;1;24
"261280 Santa Terezinha";-;-;-;2;7;-;-;-;2;-;2;-;-;-;-;-;-;-;13
"261290 São Benedito do Sul";-;-;-;3;2;1;1;-;3;-;3;-;1;-;-;-;-;-;14
"261300 São Bento do Una";-;3;-;2;11;4;-;-;6;3;13;-;1;-;-;-;-;4;47
"261310 São Caitano";1;2;2;3;14;3;1;-;6;2;11;-;2;-;-;-;-;2;49
"261320 São João";4;1;-;1;10;1;-;-;1;1;9;-;2;-;-;-;1;2;33
"261330 São Joaquim do Monte";3;2;-;2;15;2;-;-;5;3;11;-;3;1;1;-;-;3;51
"261340 São José da Coroa Grande";-;-;-;2;9;-;-;-;5;-;6;-;1;-;-;-;-;2;25
"261350 São José do Belmonte";2;1;1;8;14;3;-;-;8;-;7;-;2;-;1;-;-;3;50
"261360 São José do Egito";2;2;-;13;26;10;3;1;7;2;17;-;3;1;-;-;2;2;91
"261370 São Lourenço da Mata";8;2;-;30;67;9;-;1;12;4;21;4;5;-;-;-;3;3;169
"261380 São Vicente Ferrer";-;-;-;6;6;2;1;-;3;2;5;-;1;-;-;-;-;2;28
"261390 Serra Talhada";15;5;3;32;68;22;9;1;15;5;41;10;15;2;2;-;15;17;277
"261400 Serrita";3;-;-;4;14;3;1;-;3;-;9;-;1;1;-;-;-;2;41
"261410 Sertânia";1;1;-;3;24;2;1;1;6;2;11;2;4;-;-;-;-;4;62
"261420 Sirinhaém";1;1;1;3;9;1;1;-;5;1;8;-;1;-;-;-;2;3;37
"261440 Solidão";1;-;-;1;5;-;1;-;1;1;3;-;2;-;-;-;-;1;16
"261450 Surubim";5;2;-;12;34;8;3;-;12;4;21;-;9;-;1;-;2;4;117
"261460 Tabira";1;1;-;6;16;3;-;-;5;2;7;1;2;-;1;-;-;-;45
"261470 Tacaimbó";-;-;-;-;7;1;-;-;2;1;1;-;1;-;-;-;-;1;14
"261480 Tacaratu";-;1;-;3;14;2;-;-;3;1;5;1;-;-;1;-;1;3;35
"261485 Tamandaré";1;-;-;1;7;1;1;-;3;1;6;-;3;-;-;-;-;1;25
"261500 Taquaritinga do Norte";3;-;-;5;12;2;1;-;5;1;7;1;2;-;-;-;1;1;41
"261510 Terezinha";-;-;-;1;7;1;1;-;2;-;3;-;1;-;-;-;-;-;16
"261520 Terra Nova";-;1;-;1;4;-;-;-;3;-;1;-;-;-;-;-;-;-;10
"261530 Timbaúba";6;3;-;13;28;5;5;1;11;2;21;4;7;-;-;-;4;5;115
"261540 Toritama";1;1;-;3;13;7;1;-;1;2;4;-;4;-;-;-;-;1;38
"261550 Tracunhaém";-;-;-;3;6;1;-;-;3;1;6;-;1;-;-;-;-;3;24
"261560 Trindade";2;-;-;4;21;4;1;-;1;-;8;-;1;-;-;-;-;2;44
"261570 Triunfo";-;2;-;2;6;3;1;-;1;-;7;-;1;-;-;-;-;2;25
"261580 Tupanatinga";1;-;-;-;12;2;-;-;2;1;4;-;1;-;-;-;-;2;25
"261590 Tuparetama";-;-;-;-;5;1;1;-;2;-;2;1;1;1;-;-;-;3;17
"261600 Venturosa";-;3;-;2;8;-;-;-;3;2;10;-;2;-;-;-;-;1;31
"261610 Verdejante";1;-;-;2;7;1;1;-;1;1;2;-;1;-;-;-;-;2;19
"261618 Vertente do Lério";-;1;-;-;3;2;1;-;1;1;2;-;-;-;-;-;-;1;12
"261620 Vertentes";-;1;-;1;5;3;1;-;4;3;7;2;1;-;-;-;-;-;28
"261630 Vicência";1;2;1;3;14;3;1;-;2;2;8;2;3;2;-;-;-;4;48
"261640 Vitória de Santo Antão";12;6;4;38;104;42;6;2;19;14;48;17;31;-;2;-;16;15;376
"261650 Xexéu";1;-;-;1;8;2;1;1;2;2;6;-;1;-;-;-;-;-;25
"270010 Água Branca";3;2;-;8;11;4;-;-;4;1;5;1;2;1;-;-;2;6;50
"270020 Anadia";2;-;-;3;11;3;-;-;5;2;4;-;9;1;-;-;2;3;45
"270030 Arapiraca";81;32;21;93;248;99;20;12;43;35;101;40;61;9;16;-;163;55;1129
"270040 Atalaia";9;4;-;8;24;8;1;-;11;5;16;1;6;1;1;-;2;6;103
"270050 Barra de Santo Antônio";1;-;-;1;7;4;-;-;3;2;4;-;2;-;1;-;1;1;27
"270060 Barra de São Miguel";1;1;-;5;6;2;-;1;-;2;7;2;2;1;-;-;2;-;32
"270070 Batalha";2;2;-;6;14;4;-;-;3;1;5;-;4;1;-;-;1;3;46
"270080 Belém";1;-;-;-;1;1;-;-;1;2;3;1;3;-;-;-;2;1;16
"270090 Belo Monte";-;-;-;1;3;1;-;-;2;1;2;-;-;-;-;-;-;-;10
"270100 Boca da Mata";3;1;-;2;15;4;-;-;10;3;5;1;1;1;1;-;1;4;52
"270110 Branquinha";-;-;-;2;5;2;-;1;3;2;4;-;2;1;-;-;-;1;23
"270120 Cacimbinhas";1;-;-;1;1;1;-;-;2;-;3;1;1;-;-;-;2;1;14
"270130 Cajueiro";7;3;-;1;10;4;1;1;4;2;8;5;4;-;-;-;1;3;54
"270135 Campestre";2;1;-;1;5;4;-;1;2;2;2;-;2;-;-;-;1;-;23
"270140 Campo Alegre";6;4;-;11;26;6;1;-;11;6;16;1;4;2;-;-;3;3;100
"270150 Campo Grande";-;1;-;1;7;1;-;-;2;1;9;-;1;-;-;-;-;1;24
"270160 Canapi";2;-;-;1;10;4;-;2;4;-;2;1;1;-;-;-;2;1;30
"270170 Capela";4;-;-;7;9;3;1;-;3;2;5;1;4;-;-;-;3;3;45
"270180 Carneiros";2;1;-;2;3;1;-;-;1;-;3;1;1;-;-;-;-;-;15
"270190 Chã Preta";1;1;-;2;5;1;-;1;3;2;3;-;3;-;-;-;1;1;24
"270200 Coité do Nóia";1;1;-;2;3;3;-;-;2;1;6;-;-;-;-;-;-;-;19
"270210 Colônia Leopoldina";4;1;-;9;9;6;1;-;5;3;11;-;4;1;-;-;2;3;59
"270220 Coqueiro Seco";1;1;-;1;4;1;-;1;1;2;4;-;-;-;-;-;-;-;16
"270230 Coruripe";11;4;-;27;49;31;-;1;14;5;20;9;9;2;3;-;17;6;208
"270235 Craíbas";2;1;-;4;14;1;-;-;4;2;10;-;3;1;-;-;-;1;43
"270240 Delmiro Gouveia";5;3;1;12;32;11;3;4;1;3;15;3;5;-;2;-;12;5;117
"270250 Dois Riachos";1;1;-;2;10;2;-;-;3;1;3;1;2;-;-;-;-;1;27
"270255 Estrela de Alagoas";1;1;-;-;7;3;-;1;1;1;4;-;3;-;-;-;-;-;22
"270260 Feira Grande";3;2;-;8;17;2;-;-;2;2;5;-;2;-;-;-;-;1;44
"270270 Feliz Deserto";2;-;-;2;2;-;-;1;1;1;1;1;1;-;-;-;-;-;12
"270280 Flexeiras";1;2;-;3;9;3;-;-;3;1;3;-;2;1;-;-;-;2;30
"270290 Girau do Ponciano";9;1;-;5;29;5;-;-;9;2;7;-;6;1;-;-;1;3;78
"270300 Ibateguara";1;1;-;6;7;3;1;1;-;1;3;1;2;1;-;-;-;2;30
"270310 Igaci";3;1;-;4;12;2;-;-;1;-;8;1;4;-;-;-;-;1;37
"270320 Igreja Nova";4;2;-;5;11;2;-;-;7;-;12;1;4;-;-;-;1;2;51
"270330 Inhapi";2;1;-;3;9;3;-;-;5;1;5;-;1;-;-;-;1;3;34
"270340 Jacaré dos Homens";1;1;-;-;3;3;-;-;2;1;3;-;1;-;-;-;1;1;17
"270350 Jacuípe";1;-;-;1;9;2;-;-;3;1;-;-;1;-;-;-;1;-;19
"270360 Japaratinga";-;-;-;3;2;1;-;-;2;-;2;-;-;-;-;-;1;1;12
"270370 Jaramataia";1;-;-;-;3;1;-;-;2;1;5;-;-;-;-;-;-;1;14
"270375 Jequiá da Praia";-;1;-;4;6;3;1;1;2;2;6;1;2;-;-;-;-;-;29
"270380 Joaquim Gomes";2;-;-;5;17;3;-;2;4;1;12;1;2;-;-;-;1;1;51
"270390 Jundiá";-;-;1;1;3;-;-;-;2;1;3;-;2;-;-;-;-;-;13
"270400 Junqueiro";7;2;-;8;23;3;1;-;4;2;12;-;7;2;1;-;1;2;75
"270410 Lagoa da Canoa";2;1;-;4;13;3;-;-;2;-;8;-;5;-;-;-;-;1;39
"270420 Limoeiro de Anadia";3;-;-;4;18;2;-;-;6;2;5;1;4;-;-;-;1;1;47
"270430 Maceió";339;90;73;418;740;443;145;170;44;187;741;306;517;44;72;1;861;300;5491
"270440 Major Isidoro";2;-;1;6;13;3;-;-;4;-;6;1;3;-;-;-;1;1;41
"270490 Mar Vermelho";2;1;-;1;2;1;-;-;-;-;-;-;1;-;-;-;-;-;8
"270450 Maragogi";3;2;-;3;10;3;1;1;6;1;12;2;3;-;1;-;-;5;53
"270460 Maravilha";1;1;-;1;5;1;-;-;4;-;3;-;-;1;-;-;-;1;18
"270470 Marechal Deodoro";9;4;-;5;31;4;1;-;11;4;17;5;11;1;-;-;-;1;104
"270480 Maribondo";2;1;-;1;6;2;-;-;1;1;3;-;2;-;-;-;-;4;23
"270500 Mata Grande";1;2;-;5;10;3;-;-;6;1;4;-;1;-;-;-;-;2;35
"270510 Matriz de Camaragibe";6;1;-;5;14;4;2;-;7;3;9;1;6;-;1;-;-;2;61
"270520 Messias";1;-;-;2;7;2;1;-;3;-;6;-;4;-;-;-;2;2;30
"270530 Minador do Negrão";1;1;-;-;1;1;-;-;1;-;4;1;1;-;-;-;-;-;11
"270540 Monteirópolis";-;-;-;-;4;-;-;-;1;-;3;-;-;-;-;-;-;-;8
"270550 Murici";3;1;-;6;16;2;-;-;2;2;6;1;3;-;-;-;-;6;48
"270560 Novo Lino";1;-;-;3;4;-;-;-;2;-;2;-;1;-;-;-;-;-;13
"270570 Olho d'Água das Flores";3;1;-;2;9;2;-;-;3;1;10;1;2;-;-;-;1;4;39
"270580 Olho d'Água do Casado";-;-;-;-;6;2;-;-;4;1;5;-;1;-;-;-;-;-;19
"270590 Olho d'Água Grande";1;-;-;1;2;1;-;-;1;-;3;-;1;-;-;-;-;-;10
"270600 Olivença";2;1;-;1;6;1;-;-;3;1;5;-;1;-;-;-;-;1;22
"270610 Ouro Branco";2;1;-;1;5;-;-;-;4;-;2;-;2;-;-;-;-;1;18
"270620 Palestina";1;-;-;1;3;1;-;-;1;1;2;-;-;-;-;-;-;1;11
"270630 Palmeira dos Índios";19;6;-;23;61;16;2;1;9;10;27;32;17;-;-;-;8;12;243
"270640 Pão de Açúcar";3;2;-;4;19;3;-;-;8;2;7;1;4;-;-;-;1;4;58
"270642 Pariconha";1;-;-;5;10;4;1;-;3;1;4;1;2;-;-;-;-;-;32
"270644 Paripueira";1;-;-;5;5;1;-;-;3;1;5;2;2;-;-;-;-;-;25
"270650 Passo de Camaragibe";2;-;-;5;7;1;-;-;3;1;5;1;2;-;-;-;-;1;28
"270660 Paulo Jacinto";2;-;-;5;3;1;-;1;-;1;3;-;2;-;-;-;-;-;18
"270670 Penedo";7;7;6;10;33;15;6;1;15;4;25;7;13;1;1;-;10;14;175
"270680 Piaçabuçu";2;-;-;1;10;1;-;-;3;-;6;-;-;-;-;-;-;1;24
"270690 Pilar";8;4;-;7;17;4;-;-;5;4;12;-;10;1;-;-;-;4;76
"270700 Pindoba";-;1;-;1;1;1;-;-;1;1;2;1;2;-;-;-;-;2;13
"270710 Piranhas";4;3;-;4;15;6;-;-;7;2;10;1;2;-;1;-;1;5;61
"270720 Poço das Trincheiras";1;1;-;2;7;1;1;-;3;-;2;-;1;-;-;-;-;1;20
"270730 Porto Calvo";4;2;-;6;15;6;-;-;4;2;16;1;4;-;-;-;-;-;60
"270740 Porto de Pedras";-;-;-;4;6;1;-;-;2;1;4;-;1;-;-;-;-;-;19
"270750 Porto Real do Colégio";3;1;-;8;12;5;-;-;3;1;4;-;3;-;-;-;-;5;45
"270760 Quebrangulo";2;-;-;4;9;2;-;-;-;1;7;-;2;-;-;-;-;2;29
"270770 Rio Largo";13;2;-;9;28;12;1;1;13;5;17;9;16;1;-;-;-;9;136
"270780 Roteiro";1;1;-;2;2;1;-;-;1;1;2;-;1;-;-;-;-;-;12
"270790 Santa Luzia do Norte";-;2;-;-;5;1;-;-;3;1;3;-;2;-;-;-;-;1;18
"270800 Santana do Ipanema";8;3;3;12;32;12;2;1;6;4;20;6;6;-;1;-;4;12;132
"270810 Santana do Mundaú";2;1;-;4;6;3;-;-;4;1;6;-;4;-;-;-;-;3;34
"270820 São Brás";2;-;-;2;4;1;-;-;2;1;3;-;1;-;-;-;-;-;16
"270830 São José da Laje";2;2;-;3;14;4;-;-;5;3;11;-;1;-;-;-;-;2;47
"270840 São José da Tapera";2;1;-;5;19;2;-;-;8;1;7;-;2;2;-;-;-;3;52
"270850 São Luís do Quitunde";3;1;-;4;18;7;1;1;4;2;5;1;5;-;-;-;-;6;58
"270860 São Miguel dos Campos";10;2;6;4;29;13;1;1;11;5;18;4;5;-;1;1;2;6;119
"270870 São Miguel dos Milagres";-;-;-;-;5;2;-;-;2;1;4;-;1;-;-;-;-;-;15
"270880 São Sebastião";2;-;-;3;32;5;-;-;11;-;20;-;1;1;-;-;1;2;78
"270890 Satuba";4;3;-;3;5;2;-;-;2;1;5;1;5;1;-;-;-;2;34
"270895 Senador Rui Palmeira";1;1;-;2;3;1;-;-;1;1;4;-;1;-;-;-;-;-;15
"270900 Tanque d'Arca";-;1;-;-;2;2;-;-;3;1;1;1;-;-;-;-;-;1;12
"270910 Taquarana";2;-;-;5;12;3;-;1;4;2;5;-;1;-;-;-;-;1;36
"270915 Teotônio Vilela";9;3;-;3;30;5;1;-;10;4;19;1;5;-;-;-;-;5;95
"270920 Traipu";2;-;-;5;10;4;-;-;3;1;6;-;3;-;-;-;-;1;35
"270930 União dos Palmares";9;2;2;6;25;11;2;1;11;5;24;7;6;-;-;-;2;4;117
"270940 Viçosa";7;2;-;5;18;4;1;1;2;1;6;1;6;1;-;-;-;3;58
"280010 Amparo de São Francisco";-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;4
"280020 Aquidabã";2;1;-;5;10;5;-;-;3;-;3;1;1;1;1;-;1;3;37
"280030 Aracaju";226;114;77;550;830;360;92;130;78;144;612;316;277;50;69;8;864;191;4988
"280040 Arauá";-;-;-;-;5;-;-;-;3;-;3;-;-;-;1;-;-;2;14
"280050 Areia Branca";-;1;-;-;6;-;-;-;2;-;6;-;-;-;-;-;-;2;17
"280060 Barra dos Coqueiros";4;2;-;9;14;2;-;-;4;-;10;-;2;-;-;-;-;2;49
"280067 Boquim";3;-;-;12;15;3;-;-;7;1;10;1;1;-;-;-;-;5;58
"280070 Brejo Grande";-;1;-;1;3;-;-;-;3;-;4;2;-;-;-;-;-;1;15
"280100 Campo do Brito";1;1;-;2;5;1;-;-;2;-;4;1;1;-;-;-;-;-;18
"280110 Canhoba";-;-;-;1;2;-;-;-;2;-;2;1;-;-;-;-;-;-;8
"280120 Canindé de São Francisco";5;1;-;7;29;4;2;2;5;2;14;2;6;2;2;-;8;6;97
"280130 Capela";5;2;-;4;23;1;1;2;10;2;7;5;1;-;-;-;-;5;68
"280140 Carira";2;1;-;7;14;1;-;1;5;-;1;-;2;-;-;-;-;2;36
"280150 Carmópolis";1;1;-;3;7;-;-;1;2;1;5;2;3;-;-;-;3;2;31
"280160 Cedro de São João";2;1;-;-;2;2;2;-;3;1;1;-;1;-;-;-;1;-;16
"280170 Cristinápolis";3;1;-;3;10;4;-;-;3;2;6;-;2;-;-;-;-;4;38
"280190 Cumbe";-;1;-;-;2;1;-;-;2;-;1;2;1;-;-;-;-;-;10
"280200 Divina Pastora";1;-;-;-;2;-;-;-;3;-;1;-;-;-;-;-;-;1;8
"280210 Estância";9;6;3;24;41;7;4;2;11;2;23;7;11;1;1;-;5;11;168
"280220 Feira Nova";-;-;-;2;2;-;-;-;2;-;1;-;-;-;-;-;-;1;8
"280230 Frei Paulo";-;-;-;-;4;2;-;-;4;-;5;-;-;-;-;-;-;-;15
"280240 Gararu";-;-;-;2;3;1;-;-;3;-;3;-;1;-;-;-;-;-;13
"280250 General Maynard";-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"280260 Gracho Cardoso";1;-;-;1;4;1;1;-;-;-;1;-;1;-;-;-;-;-;10
"280270 Ilha das Flores";1;-;-;1;4;2;-;1;3;-;3;-;1;-;-;-;-;-;16
"280280 Indiaroba";-;1;-;4;7;-;-;-;6;-;5;-;-;-;-;-;-;-;23
"280290 Itabaiana";15;6;2;27;53;17;2;2;6;5;19;10;9;1;-;-;8;13;195
"280300 Itabaianinha";2;1;-;2;11;1;-;-;8;1;7;-;2;1;-;-;-;4;40
"280310 Itabi";-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"280320 Itaporanga d'Ajuda";2;-;-;11;14;3;1;-;5;1;7;1;1;-;-;-;-;5;51
"280330 Japaratuba";3;2;-;11;10;1;1;-;5;1;8;1;2;-;-;-;-;1;46
"280340 Japoatã";1;1;2;5;7;-;-;3;5;-;5;-;1;-;-;-;-;1;31
"280350 Lagarto";20;4;4;37;66;14;4;7;16;1;36;6;12;2;3;-;11;16;259
"280360 Laranjeiras";4;1;-;5;13;2;-;-;5;-;8;5;1;-;-;-;1;-;45
"280370 Macambira";2;1;-;-;2;-;1;-;2;-;1;-;1;-;-;-;-;-;10
"280380 Malhada dos Bois";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"280390 Malhador";-;-;-;2;3;2;-;-;4;-;2;-;-;-;-;-;-;1;14
"280400 Maruim";3;1;-;1;6;3;-;-;3;1;4;1;1;-;-;-;-;4;28
"280410 Moita Bonita";1;-;-;1;1;2;1;-;2;1;1;1;1;-;-;-;-;4;16
"280420 Monte Alegre de Sergipe";-;1;-;2;4;-;-;-;4;-;3;-;-;-;-;-;-;-;14
"280430 Muribeca";-;1;-;-;3;-;-;1;-;-;3;-;-;-;-;-;-;1;9
"280440 Neópolis";3;1;-;11;15;3;1;-;6;-;3;1;1;-;-;-;-;6;51
"280445 Nossa Senhora Aparecida";-;1;-;2;3;-;-;-;3;-;2;-;-;-;-;-;-;-;11
"280450 Nossa Senhora da Glória";7;4;-;9;41;5;-;1;7;-;10;4;3;-;1;-;3;8;103
"280460 Nossa Senhora das Dores";2;-;-;6;9;5;-;-;8;-;5;1;2;-;1;-;1;2;42
"280470 Nossa Senhora de Lourdes";-;-;-;-;2;1;-;-;1;-;2;-;-;-;-;-;-;1;7
"280480 Nossa Senhora do Socorro";15;4;-;15;65;12;1;1;41;3;39;7;15;3;1;-;6;21;249
"280490 Pacatuba";2;1;-;2;8;2;1;-;2;1;5;-;2;-;-;-;-;-;26
"280500 Pedra Mole";-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;1;5
"280510 Pedrinhas";-;-;-;1;2;2;-;-;-;-;2;-;-;-;-;-;-;-;7
"280520 Pinhão";-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;1;5
"280530 Pirambu";-;1;-;-;5;1;-;-;3;-;3;1;1;-;-;-;1;1;17
"280540 Poço Redondo";-;1;-;1;11;1;-;-;9;-;2;-;-;-;1;-;-;1;27
"280550 Poço Verde";2;-;-;4;13;1;-;-;-;-;4;-;1;-;-;-;-;2;27
"280560 Porto da Folha";1;-;-;4;14;2;-;-;1;-;3;1;1;-;-;-;-;2;29
"280570 Propriá";8;2;4;17;35;8;2;5;7;2;16;10;3;-;-;-;10;10;139
"280580 Riachão do Dantas";1;-;-;5;11;-;-;-;4;-;2;-;1;1;-;-;-;1;26
"280590 Riachuelo";1;-;-;7;6;-;-;-;5;-;1;-;-;-;-;-;-;-;20
"280600 Ribeirópolis";-;-;-;1;7;-;-;-;2;-;4;-;2;-;-;-;-;-;16
"280610 Rosário do Catete";-;-;-;4;7;-;-;-;4;-;4;-;-;-;-;-;-;1;20
"280620 Salgado";3;1;-;1;6;4;-;-;2;1;3;-;1;-;-;-;-;1;23
"280630 Santa Luzia do Itanhy";-;-;-;-;4;-;-;-;5;-;4;-;-;-;-;-;1;-;14
"280650 Santa Rosa de Lima";-;1;-;-;2;1;-;-;2;-;1;-;-;-;-;-;-;-;7
"280640 Santana do São Francisco";-;-;-;-;1;2;-;-;2;-;1;-;-;-;-;-;-;-;6
"280660 Santo Amaro das Brotas";1;-;-;-;11;4;-;-;3;-;1;1;-;-;-;-;-;-;21
"280670 São Cristóvão";4;-;-;10;36;4;-;-;14;-;20;7;2;-;-;-;1;7;105
"280680 São Domingos";1;-;-;-;2;-;-;1;4;-;1;-;1;-;-;-;-;-;10
"280690 São Francisco";-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;4
"280700 São Miguel do Aleixo";-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"280710 Simão Dias";3;1;-;3;13;4;-;-;6;-;12;1;5;-;1;-;-;1;50
"280720 Siriri";1;-;-;-;-;3;-;-;1;1;4;-;1;-;-;-;-;1;12
"280730 Telha";1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"280740 Tobias Barreto";5;5;-;11;27;-;-;-;10;1;11;-;3;-;-;-;-;9;82
"280750 Tomar do Geru";2;-;-;1;13;1;-;-;6;1;2;1;2;-;-;-;-;1;30
"280760 Umbaúba";2;-;-;2;8;4;-;-;5;-;3;1;2;1;-;-;1;1;30
